### Enriched GO terms for convergently expressed genes in whole body samples
# GO.ID = GO term ID
# Term = GO term description
# GSEA = Gene set enrichment analysis p-value 
GO.ID	Term	GSEA
GO:0060179	male mating behavior	0.02402
GO:0016358	dendrite development	0.02502
GO:0009101	glycoprotein biosynthetic process	0.02532
GO:1903707	negative regulation of hemopoiesis	0.02633
GO:0061028	establishment of endothelial barrier	0.02635
GO:0023061	signal release	0.02735
GO:0099504	synaptic vesicle cycle	0.02756
GO:0045785	positive regulation of cell adhesion	0.02792
GO:0008364	pupal chitin-based cuticle development	0.02808
GO:0060278	regulation of ovulation	0.02819
GO:0017145	stem cell division	0.02995
GO:0048813	dendrite morphogenesis	0.03
GO:0006730	one-carbon metabolic process	0.03032
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	0.03089
GO:0032272	negative regulation of protein polymerization	0.03191
GO:2000104	negative regulation of DNA-dependent DNA replication	0.03205
GO:0090329	regulation of DNA-dependent DNA replication	0.03205
GO:0010563	negative regulation of phosphorus metabolic process	0.03354
GO:0045936	negative regulation of phosphate metabolic process	0.03354
GO:0032543	mitochondrial translation	0.03434
GO:0048489	synaptic vesicle transport	0.03499
GO:0097480	establishment of synaptic vesicle localization	0.03499
GO:0099003	vesicle-mediated transport in synapse	0.03499
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	0.03562
GO:0014067	negative regulation of phosphatidylinositol 3-kinase signaling	0.03562
GO:0018904	ether metabolic process	0.0357
GO:0006662	glycerol ether metabolic process	0.0357
GO:0042558	pteridine-containing compound metabolic process	0.03611
GO:0035385	Roundabout signaling pathway	0.03623
GO:0031400	negative regulation of protein modification process	0.03636
GO:0031346	positive regulation of cell projection organization	0.03637
GO:0001505	regulation of neurotransmitter levels	0.03925
GO:0071896	protein localization to adherens junction	0.03948
GO:0090090	negative regulation of canonical Wnt signaling pathway	0.03948
GO:0090251	protein localization involved in establishment of planar polarity	0.03948
GO:1902414	protein localization to cell junction	0.03948
GO:0045176	apical protein localization	0.04021
GO:0051962	positive regulation of nervous system development	0.04023
GO:1903040	exon-exon junction complex assembly	0.04045
GO:0030048	actin filament-based movement	0.04053
GO:0007349	cellularization	0.04079
GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	0.04141
GO:0002768	immune response-regulating cell surface receptor signaling pathway	0.04141
GO:0035166	post-embryonic hemopoiesis	0.04236
GO:0035167	larval lymph gland hemopoiesis	0.04236
GO:0030155	regulation of cell adhesion	0.0427
GO:0097479	synaptic vesicle localization	0.04291
GO:0030150	protein import into mitochondrial matrix	0.0454
GO:0006470	protein dephosphorylation	0.0457
GO:1901137	carbohydrate derivative biosynthetic process	0.04615
GO:0006551	leucine metabolic process	0.04622
GO:0045199	maintenance of epithelial cell apical/basal polarity	0.04659
GO:0002520	immune system development	0.0467
GO:0048534	hematopoietic or lymphoid organ development	0.0467
GO:0032486	Rap protein signal transduction	0.04759
GO:0035214	eye-antennal disc development	0.0484
GO:0006486	protein glycosylation	0.04845
GO:0043413	macromolecule glycosylation	0.04845
GO:0070085	glycosylation	0.04845
GO:0048142	germarium-derived cystoblast division	0.04847
GO:0010976	positive regulation of neuron projection development	0.04901
GO:2000737	negative regulation of stem cell differentiation	0.05071
GO:0042461	photoreceptor cell development	0.05112
GO:0043065	positive regulation of apoptotic process	0.05141
GO:2000116	regulation of cysteine-type endopeptidase activity	0.0524
GO:0052547	regulation of peptidase activity	0.05301
GO:0060027	convergent extension involved in gastrulation	0.05391
GO:0061077	chaperone-mediated protein folding	0.05391
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	0.05399
GO:0040017	positive regulation of locomotion	0.05417
GO:0032269	negative regulation of cellular protein metabolic process	0.05568
GO:0051248	negative regulation of protein metabolic process	0.05568
GO:1902905	positive regulation of supramolecular fiber organization	0.05656
GO:0010811	positive regulation of cell-substrate adhesion	0.05677
GO:0048052	R1/R6 cell differentiation	0.05701
GO:1905954	positive regulation of lipid localization	0.05848
GO:1990542	mitochondrial transmembrane transport	0.05892
GO:0031503	protein complex localization	0.05929
GO:1902904	negative regulation of supramolecular fiber organization	0.05939
GO:0050770	regulation of axonogenesis	0.05991
GO:0008347	glial cell migration	0.05996
GO:0034329	cell junction assembly	0.06026
GO:1990778	protein localization to cell periphery	0.06058
GO:0031333	negative regulation of protein complex assembly	0.06065
GO:0052548	regulation of endopeptidase activity	0.06138
GO:0090382	phagosome maturation	0.06228
GO:0007369	gastrulation	0.06254
GO:0006760	folic acid-containing compound metabolic process	0.06288
GO:0046653	tetrahydrofolate metabolic process	0.06288
GO:0043068	positive regulation of programmed cell death	0.06321
GO:0007631	feeding behavior	0.06352
GO:0001667	ameboidal-type cell migration	0.06356
GO:0006893	Golgi to plasma membrane transport	0.06387
GO:0043001	Golgi to plasma membrane protein transport	0.06387
GO:0098876	vesicle-mediated transport to the plasma membrane	0.06387
GO:0051650	establishment of vesicle localization	0.06397
GO:0031427	response to methotrexate	0.0643
GO:0007465	R7 cell fate commitment	0.06436
GO:0048747	muscle fiber development	0.06461
GO:0042078	germ-line stem cell division	0.0654
GO:0042337	cuticle development involved in chitin-based cuticle molting cycle	0.0656
GO:1901658	glycosyl compound catabolic process	0.06585
GO:0007494	midgut development	0.06623
GO:0046534	positive regulation of photoreceptor cell differentiation	0.06675
GO:0016048	detection of temperature stimulus	0.06692
GO:0050951	sensory perception of temperature stimulus	0.06692
GO:0050961	detection of temperature stimulus involved in sensory perception	0.06692
GO:0050965	detection of temperature stimulus involved in sensory perception of pain	0.06692
GO:0007249	I-kappaB kinase/NF-kappaB signaling	0.06716
GO:0006836	neurotransmitter transport	0.06888
GO:0000916	actomyosin contractile ring contraction	0.06931
GO:0036213	contractile ring contraction	0.06931
GO:0048732	gland development	0.07051
GO:0006904	vesicle docking involved in exocytosis	0.0708
GO:0048278	vesicle docking	0.0708
GO:0001885	endothelial cell development	0.07088
GO:0003158	endothelium development	0.07088
GO:0045446	endothelial cell differentiation	0.07088
GO:0010950	positive regulation of endopeptidase activity	0.07089
GO:0010952	positive regulation of peptidase activity	0.07089
GO:2001056	positive regulation of cysteine-type endopeptidase activity	0.07089
GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	0.07201
GO:1902532	negative regulation of intracellular signal transduction	0.0721
GO:0051495	positive regulation of cytoskeleton organization	0.07212
GO:0000288	nuclear-transcribed mRNA catabolic process; deadenylation-dependent decay	0.07217
GO:0048568	embryonic organ development	0.07242
GO:0048140	male germ-line cyst encapsulation	0.07251
GO:0009826	unidimensional cell growth	0.07314
GO:1902743	regulation of lamellipodium organization	0.07319
GO:0010591	regulation of lamellipodium assembly	0.07319
GO:0007422	peripheral nervous system development	0.07431
GO:2000736	regulation of stem cell differentiation	0.07443
GO:0090132	epithelium migration	0.07471
GO:0010631	epithelial cell migration	0.07471
GO:0051648	vesicle localization	0.07584
GO:0042398	cellular modified amino acid biosynthetic process	0.07656
GO:0010256	endomembrane system organization	0.07687
GO:0048137	spermatocyte division	0.07742
GO:1902742	apoptotic process involved in development	0.07826
GO:0045476	nurse cell apoptotic process	0.07826
GO:0042074	cell migration involved in gastrulation	0.07887
GO:0042052	rhabdomere development	0.07952
GO:1903706	regulation of hemopoiesis	0.07969
GO:0030837	negative regulation of actin filament polymerization	0.08021
GO:0007413	axonal fasciculation	0.08102
GO:0014065	phosphatidylinositol 3-kinase signaling	0.08156
GO:0048015	phosphatidylinositol-mediated signaling	0.08156
GO:0048017	inositol lipid-mediated signaling	0.08156
GO:0035277	spiracle morphogenesis; open tracheal system	0.08178
GO:0045610	regulation of hemocyte differentiation	0.082
GO:0032535	regulation of cellular component size	0.08244
GO:0072659	protein localization to plasma membrane	0.08244
GO:0090130	tissue migration	0.08319
GO:0006817	phosphate ion transport	0.08358
GO:0007455	eye-antennal disc morphogenesis	0.08375
GO:0042706	eye photoreceptor cell fate commitment	0.08376
GO:0001752	compound eye photoreceptor fate commitment	0.08376
GO:0048663	neuron fate commitment	0.08376
GO:0046552	photoreceptor cell fate commitment	0.08376
GO:0009081	branched-chain amino acid metabolic process	0.08399
GO:0006726	eye pigment biosynthetic process	0.08458
GO:0042441	eye pigment metabolic process	0.08458
GO:0043324	pigment metabolic process involved in developmental pigmentation	0.08458
GO:0043474	pigment metabolic process involved in pigmentation	0.08458
GO:0040001	establishment of mitotic spindle localization	0.08459
GO:0010942	positive regulation of cell death	0.08494
GO:0006898	receptor-mediated endocytosis	0.08537
GO:0032456	endocytic recycling	0.08543
GO:0006493	protein O-linked glycosylation	0.08577
GO:0002683	negative regulation of immune system process	0.08731
GO:0031345	negative regulation of cell projection organization	0.08738
GO:0043405	regulation of MAP kinase activity	0.08791
GO:0006869	lipid transport	0.0882
GO:0010770	positive regulation of cell morphogenesis involved in differentiation	0.08848
GO:0032273	positive regulation of protein polymerization	0.08884
GO:0043052	thermotaxis	0.09003
GO:0007394	dorsal closure; elongation of leading edge cells	0.09026
GO:0034629	cellular protein complex localization	0.0911
GO:0042067	establishment of ommatidial planar polarity	0.09244
GO:0032351	negative regulation of hormone metabolic process	0.09274
GO:0045216	cell-cell junction organization	0.09276
GO:0034330	cell junction organization	0.09276
GO:0046148	pigment biosynthetic process	0.09371
GO:0046530	photoreceptor cell differentiation	0.09383
GO:0061024	membrane organization	0.09515
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	0.09573
GO:0048580	regulation of post-embryonic development	0.09594
GO:0006012	galactose metabolic process	0.0961
GO:0006929	substrate-dependent cell migration	0.09672
GO:0006930	substrate-dependent cell migration; cell extension	0.09672
GO:0006892	post-Golgi vesicle-mediated transport	0.09739
GO:0043648	dicarboxylic acid metabolic process	0.09774
GO:0031348	negative regulation of defense response	0.09777
GO:0042326	negative regulation of phosphorylation	0.09845
GO:0001933	negative regulation of protein phosphorylation	0.09845
GO:0007377	germ-band extension	0.10047
GO:0007009	plasma membrane organization	0.10053
GO:0031589	cell-substrate adhesion	0.1006
GO:0098609	cell-cell adhesion	0.10126
GO:0009063	cellular amino acid catabolic process	0.10168
GO:0046580	negative regulation of Ras protein signal transduction	0.10213
GO:0051058	negative regulation of small GTPase mediated signal transduction	0.10213
GO:0030718	germ-line stem cell population maintenance	0.10235
GO:0033673	negative regulation of kinase activity	0.10315
GO:0006469	negative regulation of protein kinase activity	0.10315
GO:0051348	negative regulation of transferase activity	0.10315
GO:0030381	chorion-containing eggshell pattern formation	0.10364
GO:0043297	apical junction assembly	0.10393
GO:0032880	regulation of protein localization	0.10518
GO:0060627	regulation of vesicle-mediated transport	0.10578
GO:0050772	positive regulation of axonogenesis	0.10628
GO:0045773	positive regulation of axon extension	0.10628
GO:0061387	regulation of extent of cell growth	0.10628
GO:0030516	regulation of axon extension	0.10628
GO:0007392	initiation of dorsal closure	0.10752
GO:0030728	ovulation	0.10802
GO:0042051	compound eye photoreceptor development	0.10832
GO:0032886	regulation of microtubule-based process	0.10906
GO:0007297	ovarian follicle cell migration	0.10983
GO:1904748	regulation of apoptotic process involved in development	0.11113
GO:0045477	regulation of nurse cell apoptotic process	0.11113
GO:0051130	positive regulation of cellular component organization	0.11179
GO:1902580	single-organism cellular localization	0.11182
GO:1901879	regulation of protein depolymerization	0.11209
GO:0006790	sulfur compound metabolic process	0.11237
GO:0001751	compound eye photoreceptor cell differentiation	0.11361
GO:0051491	positive regulation of filopodium assembly	0.11369
GO:0006835	dicarboxylic acid transport	0.11409
GO:0008594	photoreceptor cell morphogenesis	0.11447
GO:0008343	adult feeding behavior	0.11501
GO:0035001	dorsal trunk growth; open tracheal system	0.11514
GO:0019432	triglyceride biosynthetic process	0.11519
GO:0000132	establishment of mitotic spindle orientation	0.11534
GO:0045746	negative regulation of Notch signaling pathway	0.11554
GO:0009642	response to light intensity	0.11599
GO:0044711	single-organism biosynthetic process	0.11626
GO:0045200	establishment of neuroblast polarity	0.11767
GO:0010025	wax biosynthetic process	0.11811
GO:0010166	wax metabolic process	0.11811
GO:0043092	L-amino acid import	0.11827
GO:0044341	sodium-dependent phosphate transport	0.11827
GO:0051938	L-glutamate import	0.11827
GO:0006364	rRNA processing	0.11836
GO:0042749	regulation of circadian sleep/wake cycle	0.11844
GO:0045175	basal protein localization	0.1185
GO:1903076	regulation of protein localization to plasma membrane	0.1185
GO:1903729	regulation of plasma membrane organization	0.1185
GO:1904375	regulation of protein localization to cell periphery	0.1185
GO:1905475	regulation of protein localization to membrane	0.1185
GO:0046528	imaginal disc fusion	0.12094
GO:0046529	imaginal disc fusion; thorax closure	0.12094
GO:0034333	adherens junction assembly	0.1213
GO:0007426	tracheal outgrowth; open tracheal system	0.12138
GO:0035203	regulation of lamellocyte differentiation	0.1216
GO:0035204	negative regulation of lamellocyte differentiation	0.1216
GO:0048581	negative regulation of post-embryonic development	0.1216
GO:0045611	negative regulation of hemocyte differentiation	0.1216
GO:0045613	regulation of plasmatocyte differentiation	0.1216
GO:0045614	negative regulation of plasmatocyte differentiation	0.1216
GO:0045861	negative regulation of proteolysis	0.1216
GO:0030865	cortical cytoskeleton organization	0.12231
GO:0042462	eye photoreceptor cell development	0.12242
GO:0050807	regulation of synapse organization	0.12284
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	0.123
GO:0050732	negative regulation of peptidyl-tyrosine phosphorylation	0.123
GO:0061097	regulation of protein tyrosine kinase activity	0.123
GO:0061099	negative regulation of protein tyrosine kinase activity	0.123
GO:0045747	positive regulation of Notch signaling pathway	0.12324
GO:0034976	response to endoplasmic reticulum stress	0.12343
GO:0006998	nuclear envelope organization	0.12345
GO:0036503	ERAD pathway	0.12365
GO:0030433	ubiquitin-dependent ERAD pathway	0.12365
GO:0042386	hemocyte differentiation	0.12385
GO:0006723	cuticle hydrocarbon biosynthetic process	0.12436
GO:0006885	regulation of pH	0.12441
GO:0030004	cellular monovalent inorganic cation homeostasis	0.12441
GO:0030641	regulation of cellular pH	0.12441
GO:0045851	pH reduction	0.12441
GO:0051452	intracellular pH reduction	0.12441
GO:0051453	regulation of intracellular pH	0.12441
GO:0055067	monovalent inorganic cation homeostasis	0.12441
GO:0030838	positive regulation of actin filament polymerization	0.12471
GO:1904396	regulation of neuromuscular junction development	0.12531
GO:0008582	regulation of synaptic growth at neuromuscular junction	0.12531
GO:0045678	positive regulation of R7 cell differentiation	0.12712
GO:0007291	sperm individualization	0.12769
GO:0060026	convergent extension	0.12799
GO:0048542	lymph gland development	0.12887
GO:0040012	regulation of locomotion	0.129
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	0.12903
GO:0007396	suture of dorsal opening	0.12911
GO:0019991	septate junction assembly	0.12923
GO:0042255	ribosome assembly	0.12992
GO:0048667	cell morphogenesis involved in neuron differentiation	0.13039
GO:0007299	ovarian follicle cell-cell adhesion	0.13045
GO:0044267	cellular protein metabolic process	0.13128
GO:0016116	carotenoid metabolic process	0.13229
GO:0016108	tetraterpenoid metabolic process	0.13229
GO:0048521	negative regulation of behavior	0.13229
GO:0046843	dorsal appendage formation	0.13318
GO:0072384	organelle transport along microtubule	0.1337
GO:0030308	negative regulation of cell growth	0.13378
GO:0001708	cell fate specification	0.13429
GO:0048565	digestive tract development	0.13433
GO:0055123	digestive system development	0.13433
GO:0097190	apoptotic signaling pathway	0.13506
GO:0006613	cotranslational protein targeting to membrane	0.13541
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.13541
GO:0035090	maintenance of apical/basal cell polarity	0.13558
GO:0090208	positive regulation of triglyceride metabolic process	0.13567
GO:0048069	eye pigmentation	0.13578
GO:0045494	photoreceptor cell maintenance	0.13635
GO:0050954	sensory perception of mechanical stimulus	0.13726
GO:0000904	cell morphogenesis involved in differentiation	0.13736
GO:0008611	ether lipid biosynthetic process	0.13739
GO:0046485	ether lipid metabolic process	0.13739
GO:0046504	glycerol ether biosynthetic process	0.13739
GO:0097384	cellular lipid biosynthetic process	0.13739
GO:1901503	ether biosynthetic process	0.13739
GO:0042996	regulation of Golgi to plasma membrane protein transport	0.13745
GO:0090003	regulation of establishment of protein localization to plasma membrane	0.13745
GO:0050790	regulation of catalytic activity	0.13832
GO:0006468	protein phosphorylation	0.13941
GO:0042063	gliogenesis	0.14012
GO:0030730	sequestering of triglyceride	0.14023
GO:0042595	behavioral response to starvation	0.14023
GO:0001845	phagolysosome assembly	0.1404
GO:0007179	transforming growth factor beta receptor signaling pathway	0.14041
GO:0016198	axon choice point recognition	0.1405
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	0.1406
GO:0051261	protein depolymerization	0.1408
GO:0040013	negative regulation of locomotion	0.14108
GO:0007175	negative regulation of epidermal growth factor-activated receptor activity	0.14307
GO:0007176	regulation of epidermal growth factor-activated receptor activity	0.14307
GO:0010469	regulation of receptor activity	0.14307
GO:2000272	negative regulation of receptor activity	0.14307
GO:0051494	negative regulation of cytoskeleton organization	0.14313
GO:0010810	regulation of cell-substrate adhesion	0.14351
GO:0007282	cystoblast division	0.14371
GO:0031098	stress-activated protein kinase signaling cascade	0.14385
GO:0019098	reproductive behavior	0.14487
GO:0030713	ovarian follicle cell stalk formation	0.145
GO:0051147	regulation of muscle cell differentiation	0.14508
GO:0051153	regulation of striated muscle cell differentiation	0.14508
GO:0048585	negative regulation of response to stimulus	0.14573
GO:0048598	embryonic morphogenesis	0.14692
GO:0016337	single organismal cell-cell adhesion	0.147
GO:0043086	negative regulation of catalytic activity	0.14732
GO:0010638	positive regulation of organelle organization	0.1477
GO:0051094	positive regulation of developmental process	0.14774
GO:0090069	regulation of ribosome biogenesis	0.14824
GO:0090070	positive regulation of ribosome biogenesis	0.14824
GO:0051301	cell division	0.1483
GO:0001754	eye photoreceptor cell differentiation	0.14857
GO:0051963	regulation of synapse assembly	0.14884
GO:0050803	regulation of synapse structure or activity	0.14925
GO:0070201	regulation of establishment of protein localization	0.15012
GO:1901071	glucosamine-containing compound metabolic process	0.15062
GO:0006040	amino sugar metabolic process	0.15062
GO:0008078	mesodermal cell migration	0.15066
GO:0090501	RNA phosphodiester bond hydrolysis	0.15077
GO:0050975	sensory perception of touch	0.151
GO:0016477	cell migration	0.1511
GO:0016050	vesicle organization	0.15183
GO:0048878	chemical homeostasis	0.15262
GO:0050921	positive regulation of chemotaxis	0.15305
GO:1902669	positive regulation of axon guidance	0.15305
GO:0072001	renal system development	0.15327
GO:0001655	urogenital system development	0.15327
GO:0045859	regulation of protein kinase activity	0.15327
GO:0009581	detection of external stimulus	0.15394
GO:0009582	detection of abiotic stimulus	0.15394
GO:0019320	hexose catabolic process	0.15404
GO:0046365	monosaccharide catabolic process	0.15404
GO:0033363	secretory granule organization	0.15414
GO:0007040	lysosome organization	0.15418
GO:0080171	lytic vacuole organization	0.15418
GO:0007303	cytoplasmic transport; nurse cell to oocyte	0.15422
GO:2001135	regulation of endocytic recycling	0.15458
GO:0032102	negative regulation of response to external stimulus	0.15471
GO:0006721	terpenoid metabolic process	0.15517
GO:0009072	aromatic amino acid family metabolic process	0.15567
GO:0007602	phototransduction	0.15601
GO:0050688	regulation of defense response to virus	0.1561
GO:0048854	brain morphogenesis	0.15612
GO:0048644	muscle organ morphogenesis	0.15673
GO:0000154	rRNA modification	0.15709
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.15747
GO:0050777	negative regulation of immune response	0.15808
GO:0007096	regulation of exit from mitosis	0.15866
GO:0010160	formation of animal organ boundary	0.15922
GO:0008356	asymmetric cell division	0.15967
GO:0016081	synaptic vesicle docking	0.15967
GO:0007391	dorsal closure	0.15977
GO:0007620	copulation	0.16075
GO:0050920	regulation of chemotaxis	0.16102
GO:1901605	alpha-amino acid metabolic process	0.16126
GO:0051270	regulation of cellular component movement	0.16201
GO:0001895	retina homeostasis	0.1621
GO:0007018	microtubule-based movement	0.16236
GO:0046671	negative regulation of retinal cell programmed cell death	0.16247
GO:0046673	negative regulation of compound eye retinal cell programmed cell death	0.16247
GO:0007274	neuromuscular synaptic transmission	0.16273
GO:0048859	formation of anatomical boundary	0.16283
GO:1902903	regulation of supramolecular fiber organization	0.16301
GO:0043901	negative regulation of multi-organism process	0.16355
GO:0048865	stem cell fate commitment	0.16392
GO:0042752	regulation of circadian rhythm	0.16549
GO:0007295	growth of a germarium-derived egg chamber	0.16603
GO:0007298	border follicle cell migration	0.16649
GO:0001745	compound eye morphogenesis	0.16673
GO:0048232	male gamete generation	0.167
GO:0007283	spermatogenesis	0.167
GO:0055082	cellular chemical homeostasis	0.16724
GO:0050801	ion homeostasis	0.1673
GO:0007475	apposition of dorsal and ventral imaginal disc-derived wing surfaces	0.16759
GO:1900006	positive regulation of dendrite development	0.16819
GO:0030866	cortical actin cytoskeleton organization	0.16857
GO:0007034	vacuolar transport	0.16992
GO:0016063	rhodopsin biosynthetic process	0.17077
GO:0046154	rhodopsin metabolic process	0.17077
GO:0009314	response to radiation	0.17219
GO:0051640	organelle localization	0.17324
GO:0046460	neutral lipid biosynthetic process	0.17351
GO:0046463	acylglycerol biosynthetic process	0.17351
GO:0051260	protein homooligomerization	0.17359
GO:0009583	detection of light stimulus	0.17363
GO:0090136	epithelial cell-cell adhesion	0.17423
GO:0048749	compound eye development	0.17458
GO:0048512	circadian behavior	0.17472
GO:0008315	meiotic G2/MI transition	0.17476
GO:0044771	meiotic cell cycle phase transition	0.17476
GO:0044743	protein transmembrane import into intracellular organelle	0.17491
GO:0007568	aging	0.17565
GO:0006903	vesicle targeting	0.17588
GO:0012502	induction of programmed cell death	0.17589
GO:0035072	ecdysone-mediated induction of salivary gland cell autophagic cell death	0.17589
GO:0035078	induction of programmed cell death by ecdysone	0.17589
GO:0035081	induction of programmed cell death by hormones	0.17589
GO:1903078	positive regulation of protein localization to plasma membrane	0.17595
GO:1904377	positive regulation of protein localization to cell periphery	0.17595
GO:1905477	positive regulation of protein localization to membrane	0.17595
GO:0032940	secretion by cell	0.17639
GO:0055088	lipid homeostasis	0.17745
GO:0007530	sex determination	0.17783
GO:0043549	regulation of kinase activity	0.17813
GO:0045500	sevenless signaling pathway	0.17818
GO:0043704	photoreceptor cell fate specification	0.1783
GO:0045464	R8 cell fate specification	0.1783
GO:0048665	neuron fate specification	0.1783
GO:0031038	myosin II filament organization	0.17887
GO:0044088	regulation of vacuole organization	0.17887
GO:0044090	positive regulation of vacuole organization	0.17887
GO:0090254	cell elongation involved in imaginal disc-derived wing morphogenesis	0.17887
GO:1901096	regulation of autophagosome maturation	0.17887
GO:1901098	positive regulation of autophagosome maturation	0.17887
GO:0042773	ATP synthesis coupled electron transport	0.17898
GO:0007160	cell-matrix adhesion	0.17913
GO:0048640	negative regulation of developmental growth	0.17922
GO:0050773	regulation of dendrite development	0.17955
GO:0009064	glutamine family amino acid metabolic process	0.18024
GO:0048284	organelle fusion	0.1803
GO:0007032	endosome organization	0.18165
GO:0006520	cellular amino acid metabolic process	0.18225
GO:0030042	actin filament depolymerization	0.18232
GO:0050905	neuromuscular process	0.18312
GO:0007254	JNK cascade	0.18346
GO:0045793	positive regulation of cell size	0.18365
GO:0008090	retrograde axonal transport	0.18415
GO:1905952	regulation of lipid localization	0.18416
GO:0001964	startle response	0.18471
GO:0048645	animal organ formation	0.18558
GO:0090002	establishment of protein localization to plasma membrane	0.18558
GO:0010259	multicellular organism aging	0.18587
GO:0090383	phagosome acidification	0.18598
GO:0032873	negative regulation of stress-activated MAPK cascade	0.1862
GO:0046329	negative regulation of JNK cascade	0.1862
GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	0.1862
GO:0002921	negative regulation of humoral immune response	0.18626
GO:0008348	negative regulation of antimicrobial humoral response	0.18626
GO:0021782	glial cell development	0.1868
GO:0048646	anatomical structure formation involved in morphogenesis	0.18681
GO:0022900	electron transport chain	0.18686
GO:0019730	antimicrobial humoral response	0.18695
GO:0045824	negative regulation of innate immune response	0.18719
GO:0072002	Malpighian tubule development	0.18725
GO:0061326	renal tubule development	0.18725
GO:0015672	monovalent inorganic cation transport	0.18778
GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	0.1881
GO:1901799	negative regulation of proteasomal protein catabolic process	0.1881
GO:0022406	membrane docking	0.18831
GO:0010884	positive regulation of lipid storage	0.18846
GO:0032007	negative regulation of TOR signaling	0.18849
GO:0007043	cell-cell junction assembly	0.18889
GO:0032506	cytokinetic process	0.18929
GO:0051223	regulation of protein transport	0.18947
GO:0035094	response to nicotine	0.18981
GO:2000242	negative regulation of reproductive process	0.19013
GO:0042331	phototaxis	0.19074
GO:0009453	energy taxis	0.19074
GO:0051606	detection of stimulus	0.192
GO:0098602	single organism cell adhesion	0.19205
GO:0051403	stress-activated MAPK cascade	0.19302
GO:0036445	neuronal stem cell division	0.19305
GO:0055057	neuroblast division	0.19305
GO:0055059	asymmetric neuroblast division	0.19305
GO:0022410	circadian sleep/wake cycle process	0.19356
GO:0030177	positive regulation of Wnt signaling pathway	0.19416
GO:1901566	organonitrogen compound biosynthetic process	0.19431
GO:0051383	kinetochore organization	0.1944
GO:0022613	ribonucleoprotein complex biogenesis	0.19485
GO:0098722	asymmetric stem cell division	0.19486
GO:0009968	negative regulation of signal transduction	0.19538
GO:0015718	monocarboxylic acid transport	0.19548
GO:0007616	long-term memory	0.19563
GO:0023057	negative regulation of signaling	0.19588
