### GO term enrichment for convergent genes in whole body samples when mapped to different ref transcriptomes (see ms)
# GO.ID	= GO term ID
# GO_desc = GO term description	
# toTbi_GSEA = Gene set enrichment p-value when mapped to Timema bartmani
# toTte_GSEA = Gene set enrichment p-value when mapped to Timema tahoe	
# toTce_GSEA = Gene set enrichment p-value when mapped to Timema cristinae
# toTms_GSEA = Gene set enrichment p-value when mapped to Timema monikensis
# toTps_GSEA = Gene set enrichment p-value when mapped to Timema poppensis
# toTdi_GSEA = Gene set enrichment p-value when mapped to Timema douglasi
# toTcm_GSEA = Gene set enrichment p-value when mapped to Timema californicum
# toTsi_GSEA = Gene set enrichment p-value when mapped to Timema shepardi
# toTpa_GSEA = Gene set enrichment p-value when mapped to Timema podura
# toTge_GSEA = Gene set enrichment p-value when mapped to Timema genevievae
# median_GSEA = Median gene set enrichment p-value across species references
GO.ID	GO_desc	toTbi_GSEA	toTsi_GSEA	toTce_GSEA	toTms_GSEA	toTps_GSEA	toTcm_GSEA	toTte_GSEA	toTdi_GSEA	toTge_GSEA	toTpa_GSEA	median_GSEA
GO:0070646	protein modification by small protein removal	0.101	0.02174	0.0075	0.03421	0.02097	0.0075	0.11602	0.00326	0.13371	0.14067	0.027975
GO:0031327	negative regulation of cellular biosynthetic process	0.0359	0.01101	0.0452	0.04017	0.02024	0.00989	0.01499	0.01336	0.29864	0.31398	0.02807
GO:0051172	negative regulation of nitrogen compound metabolic process	0.0232	0.01939	0.0598	0.04026	0.03339	0.01787	0.00839	0.01457	0.28724	0.31206	0.028295
GO:0006275	regulation of DNA replication	0.0079	0.03006	0.0848	0.20399	0.09291	0.02966	0.00955	0.0126	0.02976	0.03128	0.02991
GO:0007290	spermatid nucleus elongation	0.0405	NA	0.0234	0.0235	0.01974	NA	0.03632	0.01229	0.04454	0.08367	0.02991
GO:0060024	rhythmic synaptic transmission	NA	NA	0.2598	0.02241	0.02822	NA	NA	0.03254	NA	NA	0.03038
GO:0043687	post-translational protein modification	0.0404	0.0075	NA	NA	0.0385	0.01209	0.03554	0.02159	0.02644	0.1212	0.03099
GO:0033554	cellular response to stress	0.0065	0.00044	0.0136	0.08906	0.02146	0.00508	0.09848	0.07907	0.08505	0.04191	0.031685
GO:0072594	establishment of protein localization to organelle	0.0301	0.0336	0.0167	0.01721	0.16443	0.01727	0.02712	0.31497	0.04757	0.05572	0.03185
GO:0097089	methyl-branched fatty acid metabolic process	0.0279	0.09293	0.2018	0.03608	0.06578	0.01243	0.02666	0.27555	0.02824	0.0175	0.03216
GO:1902321	methyl-branched fatty acid biosynthetic process	0.0279	0.09293	0.2018	0.03608	0.06578	0.01243	0.02666	0.27555	0.02824	0.0175	0.03216
GO:0007049	cell cycle	0.0868	0.09595	0.0237	0.01314	0.0343	0.04648	0.03012	0.01132	0.16418	0.0178	0.03221
GO:0015988	"energy coupled proton transmembrane transport, against electrochemical gradient"	0.0211	0.01602	0.0845	0.067	0.15299	0.03543	0.02603	0.38563	0.03045	0.02818	0.03294
GO:0015991	ATP hydrolysis coupled proton transport	0.0211	0.01602	0.0845	0.067	0.15299	0.03543	0.02603	0.38563	0.03045	0.02818	0.03294
GO:0090662	ATP hydrolysis coupled transmembrane transport	0.0211	0.01602	0.0845	0.067	0.15299	0.03543	0.02603	0.38563	0.03045	0.02818	0.03294
GO:0099131	ATP hydrolysis coupled ion transmembrane transport	0.0211	0.01602	0.0845	0.067	0.15299	0.03543	0.02603	0.38563	0.03045	0.02818	0.03294
GO:0099132	ATP hydrolysis coupled cation transmembrane transport	0.0211	0.01602	0.0845	0.067	0.15299	0.03543	0.02603	0.38563	0.03045	0.02818	0.03294
GO:0032486	Rap protein signal transduction	0.0074	0.00854	0.0504	0.02134	0.46285	0.01952	0.00295	0.6844	0.04704	0.05902	0.03419
GO:0016973	poly(A)+ mRNA export from nucleus	NA	NA	0.033	0.03568	NA	NA	NA	NA	NA	NA	0.03434
GO:1902600	hydrogen ion transmembrane transport	0.0422	0.04009	0.0321	0.00372	0.10426	0.02332	0.03744	0.38635	0.00582	0.00927	0.03477
GO:0010629	negative regulation of gene expression	0.0356	0.02689	0.0318	0.01321	0.06308	0.03579	0.03567	0.02075	0.21006	0.24604	0.035635
GO:0022618	ribonucleoprotein complex assembly	0.0743	0.01261	0.017	0.05636	0.01481	0.00864	0.00921	0.16614	0.52758	0.12719	0.03668
GO:0098586	cellular response to virus	0.039	0.09102	0.0378	0.05194	0.01093	0.03768	0.02936	0.01175	0.01017	0.04502	0.03774
GO:0009890	negative regulation of biosynthetic process	0.0359	0.01101	0.0452	0.04017	0.02024	1	0.01499	0.01336	0.29864	0.31398	0.038035
GO:0008380	RNA splicing	0.1732	0.00745	0.0901	0.00748	0.03641	0.00567	0.15648	0.03996	0.06758	0.00813	0.038185
GO:0006325	chromatin organization	0.0177	0.15707	0.0556	0.00637	0.01497	0.13088	0.01064	0.02277	0.3947	0.3831	0.039185
GO:0033365	protein localization to organelle	0.0076	0.17019	0.0295	0.03771	0.05456	0.04066	0.00797	0.09435	0.11579	0.02289	0.039185
GO:0043486	histone exchange	0.163	0.03426	0.03	0.06671	0.02096	0.01721	0.27388	0.0752	0.04802	0.01955	0.04114
GO:0008587	imaginal disc-derived wing margin morphogenesis	0.0284	0.09694	0.0135	0.04604	0.03697	0.11077	0.01648	0.00626	0.36969	0.17709	0.041505
GO:0032875	regulation of DNA endoreduplication	0.0171	NA	NA	NA	0.37658	NA	0.01632	0.07318	NA	NA	0.04514
GO:0032876	negative regulation of DNA endoreduplication	0.0171	NA	NA	NA	0.37658	NA	0.01632	0.07318	NA	NA	0.04514
GO:0043632	modification-dependent macromolecule catabolic process	0.0489	0.00942	0.0153	0.04496	0.04547	0.02609	0.02084	0.12026	0.62089	0.57881	0.045215
GO:0034645	cellular macromolecule biosynthetic process	0.1039	0.01996	0.7413	0.04162	0.09444	0.00872	0.10822	0.02017	0.05349	0.02155	0.047555
GO:0006511	ubiquitin-dependent protein catabolic process	0.0533	0.01096	0.0172	0.04765	0.04894	0.02814	0.02321	0.12922	0.55879	0.50841	0.048295
GO:0019941	modification-dependent protein catabolic process	0.0533	0.01096	0.0172	0.04765	0.04894	0.02814	0.02321	0.12922	0.55879	0.50841	0.048295
GO:0048869	cellular developmental process	0.0413	0.02031	0.0663	0.05543	0.02551	0.16064	0.01313	0.01598	0.44571	0.21903	0.048365
GO:0010628	positive regulation of gene expression	0.054	0.04394	0.0196	0.01737	0.01956	0.10621	0.08002	0.02749	0.2651	0.19261	0.04897
GO:0045824	negative regulation of innate immune response	0.1049	0.04029	0.0219	0.04256	0.05183	0.00394	0.15964	0.04722	0.19736	0.23454	0.049525
GO:0000154	rRNA modification	0.0789	0.08479	0.0169	0.04372	0.03134	0.08978	0.07262	0.05554	0.02263	0.03725	0.04963
GO:0051603	proteolysis involved in cellular protein catabolic process	0.0432	0.00555	0.0109	0.05908	0.02888	0.10425	0.01703	0.09626	0.65648	0.46696	0.05114
GO:0072595	maintenance of protein localization in organelle	0.0516	NA	NA	NA	NA	NA	0.05462	NA	NA	NA	0.05311
GO:0006333	chromatin assembly or disassembly	0.0348	0.57925	0.0057	0.04599	0.03071	0.43032	0.06032	0.04536	0.06873	0.08707	0.053155
GO:0051128	regulation of cellular component organization	0.0216	0.20378	0.1091	0.0386	0.04611	0.27565	0.0608	0.06521	0.02132	0.00826	0.053455
GO:0032239	regulation of nucleobase-containing compound transport	NA	NA	0.0084	0.0034	0.15938	NA	NA	0.09883	NA	NA	0.053615
GO:0030575	nuclear body organization	0.017	0.04888	0.0356	0.0478	0.10794	0.04149	0.05906	0.07677	0.23933	0.31087	0.05397
GO:0043966	histone H3 acetylation	0.0761	0.02759	0.1238	0.14056	0.00145	0.01392	0.03237	0.00156	0.57698	0.38538	0.054235
GO:0046839	phospholipid dephosphorylation	NA	0.0546	NA	NA	NA	0.0559	NA	NA	NA	NA	0.05525
GO:0046856	phosphatidylinositol dephosphorylation	NA	0.0546	NA	NA	NA	0.0559	NA	NA	NA	NA	0.05525
GO:0072665	protein localization to vacuole	0.0552	0.07633	0.2572	0.0428	NA	0.0559	0.05069	NA	NA	NA	0.05555
GO:0042255	ribosome assembly	0.1937	0.06738	0.0248	0.01646	0.03724	0.06337	0.22956	0.03522	0.06876	0.04856	0.055965
GO:0008156	negative regulation of DNA replication	0.014	0.05058	0.0821	0.17418	0.34317	0.05185	0.01322	0.06307	0.06018	0.04497	0.056015
GO:0034622	cellular macromolecular complex assembly	0.0562	0.04236	0.059	0.2031	0.04148	0.02287	0.11842	0.10915	0.35652	0.04961	0.0576
GO:0097190	apoptotic signaling pathway	0.3083	0.01302	0.0132	0.10349	0.05953	0.08804	0.24206	0.05612	0.04743	0.00532	0.057825
GO:0051297	centrosome organization	0.0441	0.00991	0.0617	0.01467	0.05485	0.00129	0.38178	0.15658	0.38396	0.3828	0.058275
GO:0046068	cGMP metabolic process	NA	NA	0.0618	0.05642	NA	NA	NA	NA	NA	NA	0.05911
GO:0034728	nucleosome organization	0.0684	0.04301	0.1229	0.0925	0.00405	0.01067	0.0997	0.05328	0.11283	0.03135	0.06084
GO:0006974	cellular response to DNA damage stimulus	0.0662	0.0151	0.0555	0.0758	0.01069	0.0062	0.27069	0.03046	0.44861	0.48862	0.06085
GO:0031441	negative regulation of mRNA 3'-end processing	0.0635	0.05855	0.8654	0.66826	NA	0.03763	0.04505	NA	NA	NA	0.061025
GO:0006661	phosphatidylinositol biosynthetic process	0.1171	0.07097	0.0334	0.05249	0.04745	0.07376	0.10796	0.04628	0.12262	0.02119	0.06173
GO:0048024	"regulation of mRNA splicing, via spliceosome"	0.0125	0.1634	0.0528	0.06416	0.02862	0.10023	0.06002	0.00853	0.27223	0.21496	0.06209
GO:0015744	succinate transport	NA	NA	NA	NA	0.06375	NA	NA	0.06072	NA	NA	0.062235
GO:0010605	negative regulation of macromolecule metabolic process	0.0672	0.03867	0.074	0.03233	0.07414	0.02907	0.05814	0.00942	0.06984	0.22098	0.06267
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	0.0536	0.12273	0.0577	0.06449	0.06143	0.05291	0.04811	0.08247	0.16661	0.37477	0.06296
GO:0010467	gene expression	0.0991	0.04194	0.6719	0.55872	0.05878	0.0684	0.1601	0.00496	0.03206	0.05053	0.06359
GO:0045727	positive regulation of translation	0.0414	0.19043	0.0062	0.00282	0.05177	0.07654	0.07969	0.05243	0.076	0.09683	0.064215
GO:0016242	negative regulation of macroautophagy	0.0989	0.01234	0.0479	0.01874	0.3485	0.02368	0.08055	0.63509	0.08783	0.01197	0.064225
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.0394	0.04393	0.5191	0.50521	0.077	0.0484	0.052	0.03646	0.17517	0.14921	0.0645
GO:0031036	myosin II filament assembly	0.0376	0.32463	0.0302	0.03451	0.4335	0.27417	0.03967	0.45167	0.08719	0.04313	0.06516
GO:0022607	cellular component assembly	0.0487	0.15265	0.0796	0.05201	0.22073	0.20472	0.04667	0.35623	0.02653	0.01892	0.065805
GO:0031324	negative regulation of cellular metabolic process	0.1193	0.03724	0.0603	0.04468	0.02256	0.27767	0.08536	0.00546	0.07565	0.39046	0.067975
GO:0007399	nervous system development	0.0559	0.01914	0.1029	0.01437	0.12122	0.51901	0.01799	0.1669	0.08105	0.03987	0.068475
GO:0046627	negative regulation of insulin receptor signaling pathway	0.0548	0.06166	0.0767	0.14113	0.05148	0.04539	0.05935	0.08177	0.17524	0.10914	0.06918
GO:1900077	negative regulation of cellular response to insulin stimulus	0.0548	0.06166	0.0767	0.14113	0.05148	0.04539	0.05935	0.08177	0.17524	0.10914	0.06918
GO:0071824	protein-DNA complex subunit organization	0.0308	0.066	0.1005	0.12124	0.64794	0.02449	0.07267	0.03863	0.10686	0.02758	0.069335
GO:0071826	ribonucleoprotein complex subunit organization	0.0534	0.00944	0.0053	0.02975	0.02888	0.62573	0.62124	0.27344	0.40245	0.0861	0.06975
GO:0090501	RNA phosphodiester bond hydrolysis	0.3051	0.031	0.0963	0.09738	0.04269	0.04336	0.04352	0.03668	0.09836	0.25798	0.06991
GO:0009892	negative regulation of metabolic process	0.0651	0.03068	0.0642	0.02373	0.02763	0.4273	0.79991	0.13779	0.07483	0.22664	0.069965
GO:0097120	receptor localization to synapse	NA	NA	NA	NA	NA	NA	NA	NA	0.0923	0.04871	0.070505
GO:1902683	regulation of receptor localization to synapse	NA	NA	NA	NA	NA	NA	NA	NA	0.0923	0.04871	0.070505
GO:1902685	positive regulation of receptor localization to synapse	NA	NA	NA	NA	NA	NA	NA	NA	0.0923	0.04871	0.070505
GO:0044271	cellular nitrogen compound biosynthetic process	0.0668	0.06717	0.3916	0.02402	0.25941	0.074	0.04231	0.02155	0.2098	0.08827	0.070585
GO:0050684	regulation of mRNA processing	0.0078	0.14339	0.0593	0.07424	0.01811	0.09266	0.04156	0.06775	0.3172	0.25628	0.070995
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	0.1256	0.02719	0.074	0.04796	0.06837	0.03454	0.10729	0.00422	0.20477	0.19126	0.071185
GO:0098529	"neuromuscular junction development, skeletal muscle fiber"	0.4492	0.00371	0.0204	0.09044	0.02338	0.0056	0.55116	0.09632	0.09736	0.05317	0.071805
GO:0017038	protein import	0.0542	0.31481	0.0626	0.08074	0.44616	0.01288	0.0629	0.58197	0.06029	0.10059	0.07182
GO:0051098	regulation of binding	0.1224	0.52226	0.0078	0.05285	0.07913	0.46579	0.074	0.01983	0.0697	0.06249	0.07185
GO:0000380	"alternative mRNA splicing, via spliceosome"	0.0171	0.20937	0.0687	0.07572	0.04385	0.11722	0.06689	0.01734	0.34157	0.27134	0.07221
GO:0000381	"regulation of alternative mRNA splicing, via spliceosome"	0.0171	0.20937	0.0687	0.07572	0.04385	0.11722	0.06689	0.01734	0.34157	0.27134	0.07221
GO:0006355	"regulation of transcription, DNA-templated"	0.2317	0.07779	0.0097	0.01077	0.03142	0.06839	0.2138	0.06295	0.33449	0.36062	0.07309
GO:2000112	regulation of cellular macromolecule biosynthetic process	0.1454	0.08719	0.8017	0.0195	0.05497	0.05744	0.05986	0.01264	0.29691	0.153	0.073525
GO:0007098	centrosome cycle	0.013	0.0053	0.0045	0.05645	0.51593	0.00268	0.18775	0.5118	0.09159	0.15199	0.07402
GO:0016072	rRNA metabolic process	0.0209	0.08551	0.5168	0.01224	0.1665	0.09686	0.19632	0.06257	0.00914	0.03903	0.07404
GO:0009059	macromolecule biosynthetic process	0.1065	0.03085	0.4121	0.04231	0.11422	0.71854	0.11798	0.02463	0.04185	0.01814	0.074405
GO:0044257	cellular protein catabolic process	0.0496	0.23944	0.0097	0.05569	0.02471	0.09338	0.01864	0.1054	0.64442	0.46121	0.074535
GO:0051252	regulation of RNA metabolic process	0.2417	0.02458	0.1955	0.00523	0.0144	0.02807	0.08055	0.06946	0.33477	0.34797	0.075005
GO:0010468	regulation of gene expression	0.2117	0.06412	0.4101	0.00408	0.02356	0.08683	0.04044	0.03922	0.23544	0.19593	0.075475
GO:0010498	proteasomal protein catabolic process	0.1225	0.01161	0.0286	0.07241	0.04729	0.00927	0.07859	0.14593	0.85907	0.71907	0.0755
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.4301	0.00871	0.1809	0.07064	0.01194	0.01579	0.08255	0.06218	0.46833	0.30741	0.076595
GO:1902275	regulation of chromatin organization	0.0745	0.0758	0.0443	0.14065	0.20037	0.0712	0.04361	0.07912	0.39044	0.55616	0.07746
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.1469	0.02244	0.0303	0.03588	0.05504	0.0249	0.10071	0.25321	0.73661	0.56142	0.077875
GO:0060341	regulation of cellular localization	0.0227	0.21452	0.0263	0.06419	0.17385	0.30061	0.05736	0.09828	0.09209	0.02304	0.07814
GO:0010639	negative regulation of organelle organization	0.3632	0.05791	0.0581	0.10411	0.05881	0.04798	0.18435	0.14553	0.06707	0.08986	0.078465
GO:0006390	transcription from mitochondrial promoter	0.0928	0.09388	0.0075	0.07679	0.08211	0.07263	0.34464	0.07015	0.04434	0.22483	0.07945
GO:0048515	spermatid differentiation	0.0367	0.705	0.6294	0.2119	0.07366	0.46216	0.03443	0.01552	0.03802	0.08578	0.07972
GO:0006417	regulation of translation	0.094	0.00561	0.2552	0.13794	0.00339	0.00073	0.06709	0.01291	0.31926	0.14533	0.080545
GO:0010557	positive regulation of macromolecule biosynthetic process	0.0873	0.07389	0.0429	0.03338	0.01439	0.11596	0.09384	0.02784	0.228	0.21676	0.080595
GO:0043038	amino acid activation	0.1959	0.07176	0.0899	0.05417	0.1016	0.01059	0.09969	0.04226	0.01187	0.21987	0.08083
GO:0046596	regulation of viral entry into host cell	0.0531	0.11827	0.0715	0.08259	0.0346	0.11776	0.096	0.01888	0.07942	0.15593	0.081005
GO:0046598	positive regulation of viral entry into host cell	0.0531	0.11827	0.0715	0.08259	0.0346	0.11776	0.096	0.01888	0.07942	0.15593	0.081005
GO:0090069	regulation of ribosome biogenesis	1	0.01475	0.1065	0.0559	0.62362	0.03428	1	0.65779	0.01147	0.01481	0.0812
GO:1990542	mitochondrial transmembrane transport	0.0438	0.08234	0.2433	0.29524	0.34083	0.04468	0.06354	0.13363	0.02855	0.08059	0.081465
GO:0051253	negative regulation of RNA metabolic process	0.0715	0.14453	0.0472	0.0632	0.06633	0.1059	0.07778	0.08528	0.24581	0.49767	0.08153
GO:0051923	sulfation	0.0996	NA	0.0236	0.015	0.1007	NA	0.07333	0.09142	NA	NA	0.082375
GO:0043484	regulation of RNA splicing	0.0208	0.10159	0.0593	0.07424	0.02034	0.06337	0.09066	0.36388	0.23236	0.24677	0.08245
GO:0019432	triglyceride biosynthetic process	0.089	0.07806	0.3554	0.12923	0.12655	0.01727	0.03315	0.33001	0.00626	0.00668	0.08353
GO:0010604	positive regulation of macromolecule metabolic process	0.1119	0.00181	0.0323	0.01404	0.05789	0.18946	0.10938	0.03383	0.47646	0.16111	0.083635
GO:0006505	GPI anchor metabolic process	0.1944	0.07097	0.0198	0.03083	0.09352	0.07376	0.19185	0.18077	0.35459	0.05588	0.08364
GO:0006506	GPI anchor biosynthetic process	0.1944	0.07097	0.0198	0.03083	0.09352	0.07376	0.19185	0.18077	0.35459	0.05588	0.08364
GO:0030718	germ-line stem cell population maintenance	0.0107	0.21666	0.0395	0.10723	0.13261	0.24558	0.00852	0.06749	0.09989	0.06701	0.08369
GO:1903311	regulation of mRNA metabolic process	0.0734	0.17304	0.0615	0.0575	0.01655	0.09435	0.03272	0.6617	0.29447	0.2419	0.083875
GO:0022402	cell cycle process	0.1542	0.21547	0.0235	0.01086	0.09554	0.13706	0.0732	0.01815	0.14272	0.01929	0.08437
GO:0000375	"RNA splicing, via transesterification reactions"	1	0.01914	1	0.01352	1	0.01388	1	0.08222	0.08841	0.01667	0.085315
GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	1	0.01914	1	0.01352	1	0.01388	1	0.08222	0.08841	0.01667	0.085315
GO:0036315	cellular response to sterol	0.0783	0.17186	0.2306	0.13529	0.07851	0.08973	0.08235	0.10152	0.01404	0.03655	0.08604
GO:0071390	cellular response to ecdysone	0.0783	0.17186	0.2306	0.13529	0.07851	0.08973	0.08235	0.10152	0.01404	0.03655	0.08604
GO:1901655	cellular response to ketone	0.0783	0.17186	0.2306	0.13529	0.07851	0.08973	0.08235	0.10152	0.01404	0.03655	0.08604
GO:2000241	regulation of reproductive process	0.0274	0.08387	0.2397	0.05305	0.18112	0.0442	0.04075	0.19481	0.17042	0.09014	0.087005
GO:0032007	negative regulation of TOR signaling	0.0502	0.07616	0.1937	0.30331	0.33316	0.06223	0.06614	0.23727	0.04384	0.09832	0.08724
GO:0006723	cuticle hydrocarbon biosynthetic process	0.0448	0.17636	0.0425	0.06053	0.19802	0.06396	0.03357	0.44592	0.11189	0.21343	0.087925
GO:0016578	histone deubiquitination	0.2969	0.07362	0.0276	0.02194	0.01035	0.10274	0.28463	0.02435	0.30367	0.241	0.08818
GO:0001676	long-chain fatty acid metabolic process	0.0434	0.09457	0.2247	0.23433	0.08263	0.07366	0.07667	0.16424	0.05758	0.1162	0.0886
GO:0006378	mRNA polyadenylation	0.3556	0.01304	0.086	0.09136	0.14387	0.01877	0.23047	0.03294	0.65671	0.08656	0.08896
GO:0043631	RNA polyadenylation	0.3556	0.01304	0.086	0.09136	0.14387	0.01877	0.23047	0.03294	0.65671	0.08656	0.08896
GO:0044782	cilium organization	0.1615	0.07936	0.0131	0.0194	0.04768	0.03544	0.09892	0.32958	0.17126	0.51859	0.08914
GO:0031497	chromatin assembly	0.0528	0.44668	0.0206	0.07491	0.02238	0.2679	0.10353	0.04757	0.13893	0.18261	0.08922
GO:0033044	regulation of chromosome organization	0.0539	0.01171	0.1247	0.21111	0.02932	0.0069	0.0436	0.14533	0.2888	0.16778	0.0893
GO:0007349	cellularization	0.0296	0.1388	0.0336	0.04484	0.03453	0.16706	0.02725	0.13486	0.24779	0.3277	0.08985
GO:0007425	"epithelial cell fate determination, open tracheal system"	NA	0.06615	0.1139	0.49304	0.21038	0.06204	NA	0.13973	0.06613	0.06055	0.090025
GO:0044702	single organism reproductive process	0.2833	0.34438	0.095	0.05275	0.05649	0.28887	0.1511	0.08602	0.02606	0.03051	0.09051
GO:1903844	regulation of cellular response to transforming growth factor beta stimulus	0.1256	0.02719	0.074	0.04796	0.06837	0.03454	0.10729	1	0.20477	0.19126	0.090645
GO:0045892	"negative regulation of transcription, DNA-templated"	0.0938	0.23318	0.0742	0.07924	0.07089	0.19341	0.08808	0.03941	0.28408	0.63881	0.09094
GO:1902679	negative regulation of RNA biosynthetic process	0.0938	0.23318	0.0742	0.07924	0.07089	0.19341	0.08808	0.03941	0.28408	0.63881	0.09094
GO:1903507	negative regulation of nucleic acid-templated transcription	0.0938	0.23318	0.0742	0.07924	0.07089	0.19341	0.08808	0.03941	0.28408	0.63881	0.09094
GO:0000278	mitotic cell cycle	0.0828	0.11743	0.1452	0.05189	0.1262	0.09936	0.03217	0.04202	0.44969	0.08062	0.09108
GO:0006397	mRNA processing	0.2129	0.00706	0.1724	0.00919	0.17664	0.02237	0.09635	0.08923	0.09299	0.00946	0.09111
GO:0006403	RNA localization	0.0155	0.09272	0.2903	0.20152	0.03384	0.08985	0.03269	0.01	0.39269	0.19933	0.091285
GO:0000209	protein polyubiquitination	0.0501	0.09677	0.0866	0.10596	0.10447	0.08138	0.12466	0.04	0.07984	0.14733	0.091685
GO:0048137	spermatocyte division	0.0069	0.63198	0.0706	0.02221	0.11302	0.53895	0.00428	0.04512	0.5692	0.56185	0.09181
GO:0006914	autophagy	0.0117	0.04107	0.0653	0.11988	0.40067	0.01934	0.04678	0.32576	0.3396	0.17707	0.09259
GO:0045751	negative regulation of Toll signaling pathway	0.097	0.08253	0.0918	0.14248	0.03818	0.09374	0.11981	0.07836	0.00631	0.11685	0.09277
GO:0010556	regulation of macromolecule biosynthetic process	0.1942	0.09807	0.8459	0.01727	0.0618	0.06395	0.08751	0.01719	0.32092	0.18446	0.09279
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	0.1924	0.0897	0.085	0.18746	0.01297	0.09416	0.25804	0.09145	0.12427	0.05273	0.092805
GO:0035337	fatty-acyl-CoA metabolic process	0.1074	0.01879	0.111	0.13672	0.08547	0.02192	0.10122	0.21602	0.07153	0.06723	0.093345
