### GO term enrichment for convergent genes in reproductive tract samples when mapped to different ref transcriptomes (see ms)
# GO.ID	= GO term ID
# GO_desc = GO term description	
# toTbi_GSEA = Gene set enrichment p-value when mapped to Timema bartmani
# toTte_GSEA = Gene set enrichment p-value when mapped to Timema tahoe	
# toTce_GSEA = Gene set enrichment p-value when mapped to Timema cristinae
# toTms_GSEA = Gene set enrichment p-value when mapped to Timema monikensis
# toTps_GSEA = Gene set enrichment p-value when mapped to Timema poppensis
# toTdi_GSEA = Gene set enrichment p-value when mapped to Timema douglasi
# toTcm_GSEA = Gene set enrichment p-value when mapped to Timema californicum
# toTsi_GSEA = Gene set enrichment p-value when mapped to Timema shepardi
# toTpa_GSEA = Gene set enrichment p-value when mapped to Timema podura
# toTge_GSEA = Gene set enrichment p-value when mapped to Timema genevievae
# median_GSEA = Median gene set enrichment p-value across species references
GO.ID	GO_desc	toTsi_GSEA	toTce_GSEA	toTbi_GSEA	toTps_GSEA	toTcm_GSEA	toTte_GSEA	toTdi_GSEA	toTms_GSEA	toTge_GSEA	toTpa_GSEA	median_GSEA
GO:0001676	long-chain fatty acid metabolic process	0.00705	0.003	0.014	0.04527	0.00443	0.03466	0.14159	0.01484	0.0719	0.01713	0.015985
GO:0031325	positive regulation of cellular metabolic process	0.01782	0.0409	0.01422	0.01566	0.00971	0.01174	0.31952	0.05905	0.0114	0.05234	0.01674
GO:0046331	lateral inhibition	0.00259	0.0353	0.00986	0.02958	0.00069	0.01194	0.0052	0.02593	0.1168	0.05771	0.018935
GO:0055092	sterol homeostasis	0.02143	0.0836	0.00276	0.00357	0.01956	0.00331	0.11419	0.17788	0.4682	0.00696	0.020495
GO:0071396	cellular response to lipid	0.01742	0.0057	0.0145	0.04355	0.04006	0.11075	0.02484	0.01408	0.0121	0.05176	0.02113
GO:0080090	regulation of primary metabolic process	0.06603	0.004	0.01534	0.00419	0.03527	0.00137	0.01895	0.05582	0.0873	0.02483	0.02189
GO:0010629	negative regulation of gene expression	0.04224	0.0258	0.01151	0.04389	0.01426	0.0074	0.06036	0.01812	0.1726	0.01236	0.02196
GO:0007458	progression of morphogenetic furrow involved in compound eye morphogenesis	0.02295	0.0581	0.31033	0.02122	0.01617	0.1904	0.01728	0.04997	0.009	0.02143	0.02219
GO:0051101	regulation of DNA binding	0.03689	0.0026	0.05008	0.00517	0.05451	0.03305	0.04819	0.00777	0.013	0.00938	0.023025
GO:0031987	locomotion involved in locomotory behavior	0.0367	0.0064	0.031	0.03768	0.04977	0.03059	0.01757	0.01183	0.0072	0.01539	0.02408
GO:0010608	posttranscriptional regulation of gene expression	0.10974	0.0892	0.01626	0.05308	0.0326	0.0149	0.00781	0.20532	0.0029	0.01699	0.024795
GO:0042592	homeostatic process	0.0098	0.1585	0.01008	0.10908	0.01083	0.01081	0.07375	0.30774	0.0377	0.01275	0.025225
GO:0022900	electron transport chain	0.01402	0.0784	0.01996	0.02733	0.00611	0.01735	0.40913	0.03497	0.0813	0.02322	0.025275
GO:0007283	spermatogenesis	0.00184	0.5257	0.00635	0.0178	0.0082	0.01764	0.07599	0.03617	0.0424	0.06095	0.026985
GO:0051098	regulation of binding	0.00404	0.039	0.00905	0.14798	0.00849	0.00836	0.02681	0.05238	0.0279	0.32677	0.027355
GO:2000112	regulation of cellular macromolecule biosynthetic process	0.08646	0.0054	0.03389	0.00395	0.0592	0.00144	0.00984	0.27507	0.0948	0.02103	0.02746
GO:0016360	sensory organ precursor cell fate determination	0.01782	0.0316	0.0191	0.02795	0.00812	0.02794	0.04333	0.02572	0.1703	0.09827	0.027945
GO:0048025	"negative regulation of mRNA splicing, via spliceosome"	0.02824	0.0307	0.04779	0.00775	0.0288	0.0477	0.00717	0.0955	0.0085	0.00665	0.02852
GO:0008052	sensory organ boundary specification	0.01782	0.0316	0.0191	0.02795	1	0.02794	0.04333	0.02572	0.1386	0.09342	0.029775
GO:0060582	cell fate determination involved in pattern specification	0.01782	0.0316	0.0191	0.02795	1	0.02794	0.04333	0.02572	0.1703	0.09827	0.029775
GO:0010557	positive regulation of macromolecule biosynthetic process	0.04272	0.0326	0.00173	0.02863	0.05884	0.00328	0.00104	0.09258	0.0168	0.03213	0.03038
GO:0019730	antimicrobial humoral response	0.03616	0.0628	0.01419	0.00507	0.05324	0.01674	0.01863	0.06646	0.0257	0.03997	0.03093
GO:0035209	pupal development	0.06892	0.0818	0.00699	0.01342	0.06823	0.00196	0.01288	0.21473	0.0243	0.03896	0.03163
GO:0031328	positive regulation of cellular biosynthetic process	0.03897	0.0253	0.0075	0.18565	0.0615	0.00927	0.00383	0.13102	0.0341	0.03135	0.032725
GO:0030497	fatty acid elongation	0.01454	0.0347	0.0103	0.07619	0.01468	0.0097	0.08764	0.26477	0.0502	0.03112	0.03291
GO:0051567	histone H3-K9 methylation	0.02159	0.1586	0.00414	0.02257	0.01915	0.00296	0.06204	0.32664	0.0872	0.04388	0.033225
GO:0051716	cellular response to stimulus	0.00911	0.0446	0.28127	0.00179	0.00778	0.28231	0.00724	0.04576	0.0483	0.02259	0.033595
GO:0010528	regulation of transposition	0.01241	0.0737	1	0.01333	0.01267	1	0.01244	0.1899	0.033	0.03572	0.03436
GO:0030154	cell differentiation	0.05782	0.0392	0.0129	0.33719	0.06606	0.03103	0.18558	0.0016	0.0043	0.00844	0.035115
GO:0036098	male germ-line stem cell population maintenance	0.00908	0.0328	0.13345	0.00239	0.00367	0.05694	0.00427	0.03811	0.0734	0.04818	0.035455
GO:0007267	cell-cell signaling	0.35903	0.0101	0.04401	0.03429	0.22753	0.00053	0.36705	0.0051	0.0367	0.0225	0.035495
GO:0090263	positive regulation of canonical Wnt signaling pathway	0.08443	0.0346	0.03583	0.01837	0.03607	0.03465	0.00814	0.10135	0.0428	0.06533	0.03595
GO:0044260	cellular macromolecule metabolic process	0.0293	0.0526	0.03372	0.05953	0.0227	0.04799	0.05611	0.03896	0.0229	0.00665	0.03634
GO:0032196	transposition	0.03695	0.0583	0.14026	0.01016	0.03763	1	0.00944	0.1542	0.033	0.03572	0.03729
GO:0022008	neurogenesis	0.04485	0.0017	0.03712	0.0017	0.05799	0.11481	0.00165	0.01029	0.0415	0.08589	0.03931
GO:0018993	somatic sex determination	0.04446	0.2663	0.01287	0.03445	0.0148	0.01086	0.43242	0.01744	0.1883	0.20731	0.039455
GO:0016197	endosomal transport	0.02911	0.1019	0.0059	0.19358	0.02749	0.0118	0.55602	0.03597	0.0437	0.11773	0.039835
GO:0040029	"regulation of gene expression, epigenetic"	0.01034	0.056	0.03205	0.00508	0.02925	0.04768	0.01486	0.04789	0.1544	0.06202	0.039865
GO:0043068	positive regulation of programmed cell death	0.03604	0.0399	0.04004	0.21708	0.00988	0.03642	0.15903	0.00527	0.1512	0.15529	0.03997
GO:0071108	protein K48-linked deubiquitination	0.07395	0.0689	0.04407	0.02922	0.07721	0.03117	0.03401	0.05527	0.0333	0.03594	0.040005
GO:0034389	lipid particle organization	0.03396	0.0715	0.04508	0.0032	0.00575	0.03524	0.00467	0.15997	0.1496	0.17611	0.04016
GO:0007399	nervous system development	0.02323	0.0593	0.01557	0.18036	0.04103	0.03973	0.21716	0.00097	0.0182	0.04665	0.04038
GO:0007541	"sex determination, primary response to X:A ratio"	0.04274	0.0096	0.0617	0.01038	0.04726	0.05778	0.01363	0.03668	0.0523	0.03907	0.040905
GO:0006457	protein folding	0.01217	0.233	0.05258	0.09453	0.01083	0.05078	0.01962	0.34794	0.0312	0.00394	0.04099
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	0.29207	0.0549	0.02892	0.06225	0.13437	0.02918	0.09176	0.02881	0.0139	0.01597	0.04204
GO:0006998	nuclear envelope organization	0.00241	0.146	0.32106	0.04099	0.00233	0.29801	0.04342	0.14825	0.035	0.03199	0.042205
GO:0007289	spermatid nucleus differentiation	0.02789	0.0056	0.04128	0.118	0.39885	0.057	0.04412	0.03468	0.1926	0.03218	0.0427
GO:0051253	negative regulation of RNA metabolic process	0.04615	0.0363	0.01891	0.1234	0.15494	0.01989	0.05488	0.01092	0.5828	0.04042	0.043285
GO:0019538	protein metabolic process	0.03401	0.045	0.00983	0.206	0.04354	0.02112	0.23029	0.04278	0.1723	0.15216	0.04427
GO:0016358	dendrite development	0.01864	0.3883	0.00788	0.03373	0.09524	0.01265	0.12071	0.33585	0.0455	0.04335	0.044425
GO:0022402	cell cycle process	0.03132	0.0518	0.00082	0.00094	0.05976	0.00267	0.07407	0.03784	0.2858	0.09801	0.04482
GO:0044267	cellular protein metabolic process	0.03159	0.0294	0.02149	0.13229	0.02741	0.01818	0.10701	0.05848	0.1028	0.15368	0.045035
GO:0007548	sex differentiation	0.06628	0.1322	0.02047	0.04405	0.03951	0.00179	0.03769	0.10491	0.0462	0.08493	0.045125
GO:0006357	regulation of transcription from RNA polymerase II promoter	0.5578	0.4489	0.01735	0.03682	0.74757	0.00786	0.00282	0.05376	0.3847	0.02483	0.04529
GO:0048645	animal organ formation	0.02972	0.0496	0.06472	0.05817	0.40279	0.02915	0.15874	0.0386	0.0384	0.04416	0.04688
GO:0050794	regulation of cellular process	0.03302	0.0328	0.61586	0.03241	0.01646	0.80398	0.06484	0.02281	0.1706	0.0609	0.04696
GO:0042811	pheromone biosynthetic process	0.00974	0.0347	0.05119	0.00058	0.07283	0.0439	0.00094	0.16865	0.0545	0.23224	0.047545
GO:0070646	protein modification by small protein removal	0.08452	0.1632	0.05022	0.04384	0.02837	0.04477	0.11012	0.03088	0.074	0.04538	0.0478
GO:0018992	germ-line sex determination	0.15818	0.0141	0.10776	0.04738	0.04981	0.09852	0.02694	0.03935	0.1353	0.04011	0.048595
GO:0006403	RNA localization	0.0499	0.0593	0.00779	0.0647	0.05564	0.01707	0.04793	0.08314	0.0245	0.02222	0.048915
GO:0045454	cell redox homeostasis	0.05419	0.0423	0.46536	0.02849	0.01623	0.42579	0.05809	0.04572	0.0534	0.03578	0.04956
GO:0097306	cellular response to alcohol	0.0475	0.0446	0.05171	0.07252	0.12958	0.23103	0.02484	0.04377	0.0433	0.14538	0.049605
GO:0070481	"nuclear-transcribed mRNA catabolic process, non-stop decay"	NA	0.0454	NA	0.05497	NA	NA	0.05963	0.02714	NA	NA	0.050185
GO:0001700	embryonic development via the syncytial blastoderm	0.04104	0.06	0.00792	0.15288	0.00617	0.00327	0.02912	0.10928	0.0594	0.08538	0.05022
GO:0001845	phagolysosome assembly	0.00726	0.0674	0.01907	0.0347	0.00494	0.03029	0.17438	0.11494	0.3337	0.37265	0.05105
GO:0035072	ecdysone-mediated induction of salivary gland cell autophagic cell death	0.09597	0.0906	0.05303	0.00805	0.10738	0.0505	0.0129	0.11665	0.0036	0.04855	0.051765
GO:0045333	cellular respiration	0.05521	0.0932	0.03228	0.01095	0.04183	0.03369	0.22507	0.04865	0.4351	0.23804	0.05193
GO:0022607	cellular component assembly	0.03429	0.0941	0.00653	0.05118	0.03752	0.0105	0.06042	0.05284	0.1219	0.47929	0.05201
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	0.03434	0.07	0.02386	0.09868	0.20006	0.02768	0.05209	0.02282	0.5483	0.0522	0.052145
GO:0045893	"positive regulation of transcription, DNA-templated"	0.04947	0.063	0.01081	0.00097	0.08461	0.01913	0.01414	0.14557	0.0734	0.05522	0.052345
GO:0009893	positive regulation of metabolic process	0.04078	0.0647	0.01903	0.03387	0.86092	0.02614	0.24912	0.08089	0.0234	0.07419	0.05274
GO:0045746	negative regulation of Notch signaling pathway	0.02486	0.0524	0.0194	0.50875	0.01284	0.02143	0.61976	0.05347	0.0662	0.20805	0.052935
GO:0035075	response to ecdysone	0.05413	0.0033	0.05373	0.02641	0.19388	0.14912	0.00025	0.01319	0.2696	0.51184	0.05393
GO:0031468	nuclear envelope reassembly	0.03527	NA	NA	NA	0.03834	NA	NA	NA	0.0722	0.16332	0.05527
GO:0000212	meiotic spindle organization	0.01621	0.2647	0.00126	0.06476	0.00162	0.00338	0.05508	0.45022	0.0557	0.13824	0.05539
GO:0006417	regulation of translation	0.15564	0.153	0.01696	0.05728	0.05815	0.02591	0.01968	0.35936	0.0183	0.10474	0.057715
GO:0006006	glucose metabolic process	0.01048	0.1638	0.04089	0.04087	0.02774	0.03982	0.16381	0.20901	0.0878	0.07494	0.057915
GO:0007293	germarium-derived egg chamber formation	0.04176	0.0598	0.01463	0.07561	0.05807	0.01091	0.23824	0.02556	0.0674	0.20242	0.058935
GO:0042675	compound eye cone cell differentiation	0.00474	0.1222	0.11532	0.00636	0.02434	0.05792	0.0114	0.05997	0.1408	0.07977	0.058945
GO:1902680	positive regulation of RNA biosynthetic process	0.04947	0.063	0.01081	1	0.08461	0.01913	0.01414	0.14557	0.0734	0.05522	0.05911
GO:1903508	positive regulation of nucleic acid-templated transcription	0.04947	0.063	0.01081	1	0.08461	0.01913	0.01414	0.14557	0.0734	0.05522	0.05911
GO:0048806	genitalia development	0.03381	0.5619	0.38583	0.01897	0.05964	0.04138	0.0202	0.3811	0.0611	0.11235	0.06037
GO:0050994	regulation of lipid catabolic process	0.53336	0.056	0.03393	0.0689	0.40671	0.0292	0.13016	0.06508	0.0343	0.05639	0.060735
GO:0050995	negative regulation of lipid catabolic process	0.53336	0.056	0.03393	0.0689	0.40671	0.0292	0.13016	0.06508	0.0343	0.05639	0.060735
GO:0010160	formation of animal organ boundary	0.02307	0.042	0.07582	0.06805	0.68199	0.04694	0.09267	0.02515	0.0593	0.06361	0.061455
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	0.0734	0.3085	0.04209	0.05048	0.21271	0.03311	0.20185	0.18758	0.0207	0.01325	0.06194
GO:0007530	sex determination	0.03781	0.1578	0.06162	0.02124	0.0456	0.06365	0.30402	0.05649	0.1947	0.07445	0.062635
GO:0036315	cellular response to sterol	0.10158	0.0146	0.05853	0.06818	0.2054	0.16885	0.018	0.03171	0.0437	0.15923	0.063355
GO:0071390	cellular response to ecdysone	0.10158	0.0146	0.05853	0.06818	0.2054	0.16885	0.018	0.03171	0.0437	0.15923	0.063355
GO:1901655	cellular response to ketone	0.10158	0.0146	0.05853	0.06818	0.2054	0.16885	0.018	0.03171	0.0437	0.15923	0.063355
GO:0033108	mitochondrial respiratory chain complex assembly	0.02592	0.0217	0.06647	0.07433	0.02887	0.10266	0.34605	0.02795	0.0614	0.19246	0.063935
GO:0016579	protein deubiquitination	0.02481	0.1826	0.05056	0.08789	0.02222	0.0776	0.10258	0.04905	0.0798	0.04203	0.06408
GO:0006355	"regulation of transcription, DNA-templated"	0.30581	0.0304	0.00727	0.07125	0.43415	0.02473	0.27112	0.00582	0.4037	0.05771	0.06448
GO:0042744	hydrogen peroxide catabolic process	0.01715	0.0353	0.3021	0.09851	0.18289	0.30062	0.06945	0.04921	0.0355	0.061	0.065225
GO:0010507	negative regulation of autophagy	0.01882	0.0158	0.05695	0.37982	0.02926	0.59347	0.07406	0.02205	0.1449	0.11917	0.065505
GO:0006397	mRNA processing	0.05635	0.1134	0.21107	0.04418	0.1321	0.10422	0.05478	0.07473	0.038	0.01039	0.06554
GO:0006959	humoral immune response	0.02744	0.0713	0.01719	0.80675	0.06039	0.00892	0.07584	0.15494	0.0543	0.08208	0.065845
GO:0036124	histone H3-K9 trimethylation	0.0461	0.3168	0.16509	0.07116	0.036	0.11438	0.0626	0.17829	0.0349	0.05657	0.06688
GO:1900112	regulation of histone H3-K9 trimethylation	0.0461	0.3168	0.16509	0.07116	0.036	0.11438	0.0626	0.17829	0.0349	0.05657	0.06688
GO:1900114	positive regulation of histone H3-K9 trimethylation	0.0461	0.3168	0.16509	0.07116	0.036	0.11438	0.0626	0.17829	0.0349	0.05657	0.06688
GO:0010604	positive regulation of macromolecule metabolic process	0.07931	0.0922	0.02839	0.04752	0.04427	0.05473	0.20573	0.11907	0.0338	0.20097	0.06702
GO:0010628	positive regulation of gene expression	0.09693	0.0575	0.00295	0.19987	0.13123	0.00541	0.00948	0.15254	0.0313	0.07764	0.06757
GO:0090435	protein localization to nuclear envelope	NA	NA	0.07235	NA	NA	0.07191	NA	NA	0.0484	0.06411	0.06801
GO:2000574	regulation of microtubule motor activity	NA	NA	0.06787	NA	NA	0.06105	NA	NA	0.0849	0.06931	0.06859
GO:0008298	intracellular mRNA localization	0.26475	0.1885	0.03938	0.0764	0.2446	0.06096	0.03306	0.24194	0.0367	0.04534	0.06868
GO:0007166	cell surface receptor signaling pathway	0.05898	0.1142	0.00032	0.03465	0.09617	0.00088	0.07861	0.05843	0.1067	0.11193	0.068795
GO:0044700	single organism signaling	0.02242	0.0116	0.52551	0.01098	0.02005	0.62407	0.06572	0.33722	0.0721	0.10112	0.06891
GO:0006612	protein targeting to membrane	0.01503	0.3568	0.00455	0.10594	0.01571	0.00625	0.1139	0.39811	0.0338	0.1042	0.069
GO:0007154	cell communication	0.01455	0.0112	0.4807	0.00753	0.0132	0.71456	0.07887	0.32349	0.0692	0.06932	0.06926
GO:0007204	positive regulation of cytosolic calcium ion concentration	NA	NA	0.05443	NA	NA	0.06959	NA	NA	NA	0.30715	0.06959
GO:0010043	response to zinc ion	0.12213	0.3503	0.02056	0.07277	0.1192	0.00171	0.06668	0.26125	0.0359	0.03891	0.069725
GO:0070972	protein localization to endoplasmic reticulum	0.07739	0.189	0.0444	0.02873	0.02225	0.03853	0.06217	0.27417	0.3767	0.08698	0.06978
GO:0035039	male pronucleus assembly	0.09806	0.2805	0.06941	0.07058	0.11187	0.05373	0.05533	0.3215	0.0557	0.05671	0.069995
GO:0035041	sperm chromatin decondensation	0.09806	0.2805	0.06941	0.07058	0.11187	0.05373	0.05533	0.3215	0.0557	0.05671	0.069995
GO:0003002	regionalization	0.06141	0.2148	0.02406	0.0106	0.14237	0.02377	0.05717	0.28911	0.079	0.08071	0.070205
GO:0008283	cell proliferation	0.02188	0.0686	0.12388	0.08335	0.06663	0.04535	0.16892	0.05825	0.0721	0.22457	0.07035
GO:0006915	apoptotic process	0.01836	0.3853	0.02372	0.08373	0.02362	0.04063	0.28844	0.30655	0.0638	0.07741	0.070605
GO:0051254	positive regulation of RNA metabolic process	0.06075	0.0786	0.00735	0.83845	0.09811	0.01738	0.02701	0.2208	0.085	0.06521	0.071905
GO:0017157	regulation of exocytosis	0.25563	0.0101	0.21971	0.12673	0.01901	0.19419	0.1513	0.01034	0.0027	0.00627	0.07287
GO:0032785	"negative regulation of DNA-templated transcription, elongation"	0.04686	0.1528	0.03599	0.08232	0.05516	0.03872	0.08137	0.17448	0.0663	0.15401	0.073835
GO:0048608	reproductive structure development	0.15014	0.1932	0.04555	0.01083	0.05213	0.00461	0.03122	0.09817	0.0957	0.12992	0.073915
GO:0030260	entry into host cell	0.07468	0.0432	0.36289	0.03373	0.0732	0.33387	0.0153	0.03205	0.2341	0.29436	0.07394
GO:0044409	entry into host	0.07468	0.0432	0.36289	0.03373	0.0732	0.33387	0.0153	0.03205	0.2341	0.29436	0.07394
GO:0046596	regulation of viral entry into host cell	0.07468	0.0575	0.17527	0.03373	0.0732	0.15795	0.0153	0.05055	0.3469	0.35494	0.07394
GO:0046598	positive regulation of viral entry into host cell	0.07468	0.0575	0.17527	0.03373	0.0732	0.15795	0.0153	0.05055	0.3469	0.35494	0.07394
GO:0046718	viral entry into host cell	0.07468	0.0432	0.36289	0.03373	0.0732	0.33387	0.0153	0.03205	0.2341	0.29436	0.07394
GO:0051701	interaction with host	0.07468	0.0432	0.36289	0.03373	0.0732	0.33387	0.0153	0.03205	0.2341	0.29436	0.07394
GO:0051806	entry into cell of other organism involved in symbiotic interaction	0.07468	0.0432	0.36289	0.03373	0.0732	0.33387	0.0153	0.03205	0.2341	0.29436	0.07394
GO:0051828	entry into other organism involved in symbiotic interaction	0.07468	0.0432	0.36289	0.03373	0.0732	0.33387	0.0153	0.03205	0.2341	0.29436	0.07394
GO:0048522	positive regulation of cellular process	0.00569	0.0419	0.19396	0.10167	0.38955	0.07314	0.16317	0.07491	0.0661	0.04972	0.074025
GO:0033993	response to lipid	0.01681	1	0.01713	0.04058	0.07741	0.07076	0.5458	0.00838	0.2351	0.38012	0.074085
GO:0048813	dendrite morphogenesis	0.03782	0.3736	0.0096	0.05586	0.163	0.0143	0.1715	0.32142	0.0808	0.06749	0.074145
GO:0051173	positive regulation of nitrogen compound metabolic process	0.08155	0.0184	0.1303	0.17148	0.07359	0.01615	0.00918	0.13102	0.0563	0.07529	0.07444
GO:0051574	positive regulation of histone H3-K9 methylation	0.04608	0.1616	0.04402	0.14642	0.04179	0.0351	0.27638	0.5475	0.103	0.03945	0.07454
GO:0008049	male courtship behavior	0.05492	0.0592	0.1819	0.02314	0.09037	0.23628	0.0572	0.05645	0.3903	0.23651	0.074785
GO:0035186	syncytial blastoderm mitotic cell cycle	0.1482	0.052	0.09819	0.01018	0.18606	0.12889	0.02641	0.37265	0.023	0.0355	0.075095
GO:2000648	positive regulation of stem cell proliferation	0.10556	0.071	0.00079	0.0793	0.1283	0.00067	0.05451	0.06094	0.2513	0.1732	0.07515
GO:0061355	Wnt protein secretion	0.21295	0.0734	0.07243	0.03121	0.06272	0.0974	0.02467	0.07719	0.3574	0.17577	0.075295
GO:0061356	regulation of Wnt protein secretion	0.21295	0.0734	0.07243	0.03121	0.06272	0.0974	0.02467	0.07719	0.3574	0.17577	0.075295
GO:0061357	positive regulation of Wnt protein secretion	0.21295	0.0734	0.07243	0.03121	0.06272	0.0974	0.02467	0.07719	0.3574	0.17577	0.075295
GO:0007446	imaginal disc growth	0.0867	0.0583	0.07328	0.09989	0.04455	0.03851	0.07004	0.08133	0.1715	0.24771	0.077305
GO:0060581	cell fate commitment involved in pattern specification	0.04134	0.1076	0.07465	0.03229	0.75985	0.01986	0.05831	0.08074	0.2079	0.16975	0.077695
GO:0048232	male gamete generation	1	0.503	0.56592	0.02177	1	0.0194	0.08905	0.03309	0.0466	0.06635	0.0777
GO:0000915	actomyosin contractile ring assembly	0.19462	0.0245	0.16681	0.00375	0.1734	0.27808	0.00177	0.11781	0.0151	0.03794	0.077875
GO:0030730	sequestering of triglyceride	0.08408	0.2648	0.03749	0.15315	0.03456	0.03902	0.17104	0.45021	0.0722	0.06789	0.07814
GO:0009792	embryo development ending in birth or egg hatching	0.05859	0.0679	0.43853	0.18646	0.80591	0.49789	0.03189	0.08918	0.0499	0.06599	0.07854
GO:0000412	histone peptidyl-prolyl isomerization	0.22175	0.0123	0.0222	NA	0.19939	0.02006	NA	0.04101	0.1216	0.11637	0.07869
GO:0023052	signaling	0.02359	0.0144	0.58944	0.01214	0.02097	0.60998	0.07744	0.38106	0.0805	0.11101	0.07897
GO:0010906	regulation of glucose metabolic process	0.01821	0.1895	0.03023	0.02606	0.049	0.04232	0.14531	0.26462	0.1122	0.10944	0.07922
GO:0045727	positive regulation of translation	0.51354	0.1253	0.05391	0.05207	0.51419	0.03784	0.02942	0.05083	0.1049	0.27799	0.079405
GO:0006302	double-strand break repair	0.66698	0.2301	0.04894	0.02786	0.0664	0.0098	0.02492	0.33225	0.0952	0.27834	0.0808
GO:0044085	cellular component biogenesis	0.03349	0.1281	0.73913	0.04498	0.03716	0.01172	0.10158	0.06149	0.1017	0.3387	0.081535
GO:0051570	regulation of histone H3-K9 methylation	0.08215	0.2732	0.02059	0.08128	0.07499	0.01583	0.17391	0.7205	0.1776	0.08216	0.082155
GO:0006265	DNA topological change	0.06011	0.088	NA	0.08168	0.04585	NA	0.08268	0.4443	0.4869	0.07062	0.08218
GO:0051276	chromosome organization	0.08928	0.0583	0.05817	0.50807	0.03346	0.02994	0.247	0.07508	0.1042	0.17916	0.08218
GO:0022904	respiratory electron transport chain	0.05792	0.2112	0.08565	0.07455	0.02949	0.06434	0.6603	0.10894	0.2228	0.07952	0.082585
GO:0048070	regulation of developmental pigmentation	0.05117	0.0987	0.03282	0.42585	0.20684	0.03	0.60186	0.05204	0.0682	0.12689	0.08345
GO:2001023	regulation of response to drug	NA	NA	0.03839	NA	NA	0.02999	NA	NA	0.1297	0.14215	0.084045
GO:0032102	negative regulation of response to external stimulus	0.10813	0.0944	0.00684	0.01824	0.07393	0.02455	0.00356	0.10815	0.341	0.29624	0.084165
GO:0018990	"ecdysis, chitin-based cuticle"	0.28291	0.0633	0.07931	0.10273	0.24432	0.07716	0.03374	0.07236	0.0892	0.11842	0.084255
GO:0010950	positive regulation of endopeptidase activity	0.13346	0.2584	0.01515	0.43017	0.05433	0.01476	0.43121	0.09956	0.0696	0.06964	0.0846
GO:0010952	positive regulation of peptidase activity	0.13346	0.2584	0.01515	0.43017	0.05433	0.01476	0.43121	0.09956	0.0696	0.06964	0.0846
GO:2001056	positive regulation of cysteine-type endopeptidase activity	0.13346	0.2584	0.01515	0.43017	0.05433	0.01476	0.43121	0.09956	0.0696	0.06964	0.0846
GO:0007229	integrin-mediated signaling pathway	0.14099	0.1832	0.08906	0.08022	0.02966	0.02277	0.05284	0.15952	0.098	0.07722	0.08464
GO:0031323	regulation of cellular metabolic process	0.04168	0.1719	0.03146	0.01784	0.14149	0.13671	0.1726	0.09755	0.0747	0.05979	0.086125
