### Enriched GO terms for convergently expressed genes in leg samples
# GO.ID = GO term ID
# Term = GO term description
# GSEA = Gene set enrichment analysis p-value 
GO.ID	Term	GSEA
GO:0048523	negative regulation of cellular process	0.0322
GO:0043068	positive regulation of programmed cell death	0.0325
GO:0010942	positive regulation of cell death	0.0325
GO:0051172	negative regulation of nitrogen compound metabolic process	0.0332
GO:0042775	mitochondrial ATP synthesis coupled electron transport	0.0334
GO:0009892	negative regulation of metabolic process	0.0334
GO:0015813	L-glutamate transport	0.0337
GO:0010256	endomembrane system organization	0.0337
GO:0010927	cellular component assembly involved in morphogenesis	0.0339
GO:0006163	purine nucleotide metabolic process	0.034
GO:0009199	ribonucleoside triphosphate metabolic process	0.0342
GO:0070507	regulation of microtubule cytoskeleton organization	0.0354
GO:0046843	dorsal appendage formation	0.0355
GO:0043244	regulation of protein complex disassembly	0.0362
GO:0006397	mRNA processing	0.0364
GO:0048515	spermatid differentiation	0.0366
GO:0046685	response to arsenic-containing substance	0.0376
GO:0006139	nucleobase-containing compound metabolic process	0.0388
GO:0042908	xenobiotic transport	0.0389
GO:0006120	mitochondrial electron transport; NADH to ubiquinone	0.0391
GO:0044702	single organism reproductive process	0.0393
GO:0015980	energy derivation by oxidation of organic compounds	0.0396
GO:0043269	regulation of ion transport	0.0404
GO:0009141	nucleoside triphosphate metabolic process	0.0407
GO:0010605	negative regulation of macromolecule metabolic process	0.0409
GO:0006576	cellular biogenic amine metabolic process	0.041
GO:0007446	imaginal disc growth	0.0413
GO:0016070	RNA metabolic process	0.0417
GO:0048259	regulation of receptor-mediated endocytosis	0.0422
GO:0009150	purine ribonucleotide metabolic process	0.0422
GO:0006778	porphyrin-containing compound metabolic process	0.0422
GO:0006779	porphyrin-containing compound biosynthetic process	0.0422
GO:0045196	establishment or maintenance of neuroblast polarity	0.0427
GO:2000178	negative regulation of neural precursor cell proliferation	0.043
GO:0007406	negative regulation of neuroblast proliferation	0.043
GO:2000647	negative regulation of stem cell proliferation	0.043
GO:0016332	establishment or maintenance of polarity of embryonic epithelium	0.0432
GO:0050678	regulation of epithelial cell proliferation	0.0432
GO:0050680	negative regulation of epithelial cell proliferation	0.0432
GO:0007286	spermatid development	0.0433
GO:0051253	negative regulation of RNA metabolic process	0.0435
GO:0008356	asymmetric cell division	0.0436
GO:0036098	male germ-line stem cell population maintenance	0.0444
GO:0045200	establishment of neuroblast polarity	0.0446
GO:0034248	regulation of cellular amide metabolic process	0.0451
GO:2000142	regulation of DNA-templated transcription; initiation	0.0454
GO:0060260	regulation of transcription initiation from RNA polymerase II promoter	0.0454
GO:0046034	ATP metabolic process	0.0459
GO:0006725	cellular aromatic compound metabolic process	0.0466
GO:0006414	translational elongation	0.0468
GO:0072521	purine-containing compound metabolic process	0.0475
GO:0010629	negative regulation of gene expression	0.0481
GO:0030162	regulation of proteolysis	0.0486
GO:0009794	regulation of mitotic cell cycle; embryonic	0.049
GO:2000242	negative regulation of reproductive process	0.0493
GO:0032886	regulation of microtubule-based process	0.0502
GO:0007622	rhythmic behavior	0.051
GO:0006839	mitochondrial transport	0.051
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	0.0522
GO:0030720	oocyte localization involved in germarium-derived egg chamber formation	0.0524
GO:0045017	glycerolipid biosynthetic process	0.0528
GO:0051336	regulation of hydrolase activity	0.0536
GO:0033014	tetrapyrrole biosynthetic process	0.0541
GO:0009259	ribonucleotide metabolic process	0.0542
GO:0046777	protein autophosphorylation	0.0542
GO:0031145	anaphase-promoting complex-dependent catabolic process	0.0543
GO:0070271	protein complex biogenesis	0.0557
GO:0008277	regulation of G-protein coupled receptor protein signaling pathway	0.0563
GO:0090304	nucleic acid metabolic process	0.0563
GO:0007051	spindle organization	0.0572
GO:0030725	germline ring canal formation	0.0575
GO:0007301	female germline ring canal formation	0.0575
GO:0043063	intercellular bridge organization	0.0575
GO:0043523	regulation of neuron apoptotic process	0.0578
GO:0051402	neuron apoptotic process	0.0578
GO:2000177	regulation of neural precursor cell proliferation	0.0581
GO:1902692	regulation of neuroblast proliferation	0.0581
GO:0006461	protein complex assembly	0.0582
GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	0.0584
GO:0007348	regulation of syncytial blastoderm mitotic cell cycle	0.0585
GO:0007096	regulation of exit from mitosis	0.0592
GO:0061136	regulation of proteasomal protein catabolic process	0.0592
GO:0051276	chromosome organization	0.0592
GO:0007276	gamete generation	0.0592
GO:0016192	vesicle-mediated transport	0.0593
GO:0035148	tube formation	0.0603
GO:0009608	response to symbiont	0.0604
GO:0033119	negative regulation of RNA splicing	0.0606
GO:0034250	positive regulation of cellular amide metabolic process	0.0607
GO:1903053	regulation of extracellular matrix organization	0.061
GO:0043254	regulation of protein complex assembly	0.0615
GO:0044106	cellular amine metabolic process	0.0617
GO:0009308	amine metabolic process	0.0617
GO:0031929	TOR signaling	0.0622
GO:0046330	positive regulation of JNK cascade	0.0624
GO:0051093	negative regulation of developmental process	0.063
GO:0030534	adult behavior	0.0633
GO:0051604	protein maturation	0.0637
GO:0007303	cytoplasmic transport; nurse cell to oocyte	0.064
GO:0007019	microtubule depolymerization	0.065
GO:0031114	regulation of microtubule depolymerization	0.065
GO:0000819	sister chromatid segregation	0.0651
GO:0051493	regulation of cytoskeleton organization	0.0651
GO:0031325	positive regulation of cellular metabolic process	0.0652
GO:0006396	RNA processing	0.0652
GO:0046483	heterocycle metabolic process	0.0655
GO:0007422	peripheral nervous system development	0.0658
GO:0006835	dicarboxylic acid transport	0.0663
GO:0071482	cellular response to light stimulus	0.0663
GO:0043623	cellular protein complex assembly	0.0671
GO:0016336	establishment or maintenance of polarity of larval imaginal disc epithelium	0.0673
GO:0015800	acidic amino acid transport	0.0674
GO:0015807	L-amino acid transport	0.0674
GO:0042345	regulation of NF-kappaB import into nucleus	0.0675
GO:0042346	positive regulation of NF-kappaB import into nucleus	0.0675
GO:0042347	negative regulation of NF-kappaB import into nucleus	0.0675
GO:0042348	NF-kappaB import into nucleus	0.0675
GO:0008588	release of cytoplasmic sequestered NF-kappaB	0.0675
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	0.0675
GO:0060623	regulation of chromosome condensation	0.0675
GO:2000114	regulation of establishment of cell polarity	0.0675
GO:0032878	regulation of establishment or maintenance of cell polarity	0.0675
GO:0007253	cytoplasmic sequestering of NF-kappaB	0.0675
GO:0065009	regulation of molecular function	0.0679
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.0684
GO:0090162	establishment of epithelial cell polarity	0.0687
GO:0030010	establishment of cell polarity	0.0691
GO:0050673	epithelial cell proliferation	0.0696
GO:0051224	negative regulation of protein transport	0.0712
GO:1904950	negative regulation of establishment of protein localization	0.0712
GO:0002831	regulation of response to biotic stimulus	0.0712
GO:0009167	purine ribonucleoside monophosphate metabolic process	0.0713
GO:0009126	purine nucleoside monophosphate metabolic process	0.0713
GO:0052548	regulation of endopeptidase activity	0.0716
GO:0007300	ovarian nurse cell to oocyte transport	0.0717
GO:0009117	nucleotide metabolic process	0.0724
GO:0048519	negative regulation of biological process	0.0732
GO:0007281	germ cell development	0.0748
GO:0045477	regulation of nurse cell apoptotic process	0.0749
GO:1904748	regulation of apoptotic process involved in development	0.0749
GO:0050790	regulation of catalytic activity	0.075
GO:0010721	negative regulation of cell development	0.0758
GO:0072091	regulation of stem cell proliferation	0.0761
GO:0051234	establishment of localization	0.0765
GO:0061057	peptidoglycan recognition protein signaling pathway	0.0767
GO:0007304	chorion-containing eggshell formation	0.0768
GO:0006810	transport	0.0769
GO:0051346	negative regulation of hydrolase activity	0.0771
GO:0010830	regulation of myotube differentiation	0.0773
GO:1901739	regulation of myoblast fusion	0.0773
GO:0060142	regulation of syncytium formation by plasma membrane fusion	0.0773
GO:0022412	cellular process involved in reproduction in multicellular organism	0.0777
GO:0051302	regulation of cell division	0.0781
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	0.0787
GO:1903844	regulation of cellular response to transforming growth factor beta stimulus	0.0787
GO:0010716	negative regulation of extracellular matrix disassembly	0.0793
GO:1903054	negative regulation of extracellular matrix organization	0.0793
GO:0010715	regulation of extracellular matrix disassembly	0.0793
GO:0036445	neuronal stem cell division	0.0798
GO:0055057	neuroblast division	0.0798
GO:0055059	asymmetric neuroblast division	0.0798
GO:0045727	positive regulation of translation	0.08
GO:0009161	ribonucleoside monophosphate metabolic process	0.0802
GO:0046890	regulation of lipid biosynthetic process	0.0808
GO:1901566	organonitrogen compound biosynthetic process	0.0811
GO:0006753	nucleoside phosphate metabolic process	0.0816
GO:0000335	negative regulation of transposition; DNA-mediated	0.0818
GO:0000337	regulation of transposition; DNA-mediated	0.0818
GO:0006313	transposition; DNA-mediated	0.0818
GO:0043967	histone H4 acetylation	0.0818
GO:0045910	negative regulation of DNA recombination	0.0818
GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	0.0819
GO:0032874	positive regulation of stress-activated MAPK cascade	0.0819
GO:0008654	phospholipid biosynthetic process	0.0821
GO:0044770	cell cycle phase transition	0.0822
GO:0022400	regulation of rhodopsin mediated signaling pathway	0.0825
GO:0016056	rhodopsin mediated signaling pathway	0.0825
GO:0048103	somatic stem cell division	0.0828
GO:0035265	organ growth	0.0831
GO:0051299	centrosome separation	0.0832
GO:0051241	negative regulation of multicellular organismal process	0.0833
GO:1901360	organic cyclic compound metabolic process	0.0834
GO:0046621	negative regulation of organ growth	0.0841
GO:0080090	regulation of primary metabolic process	0.085
GO:0006451	translational readthrough	0.085
GO:0019693	ribose phosphate metabolic process	0.0851
GO:0070374	positive regulation of ERK1 and ERK2 cascade	0.0851
GO:0045475	locomotor rhythm	0.0854
GO:2001257	regulation of cation channel activity	0.0856
GO:2001259	positive regulation of cation channel activity	0.0856
GO:0010562	positive regulation of phosphorus metabolic process	0.0856
GO:0045937	positive regulation of phosphate metabolic process	0.0856
GO:0016335	morphogenesis of larval imaginal disc epithelium	0.0857
GO:0051865	protein autoubiquitination	0.0858
GO:0042308	negative regulation of protein import into nucleus	0.0858
GO:1904590	negative regulation of protein import	0.0858
GO:1900181	negative regulation of protein localization to nucleus	0.0858
GO:0031110	regulation of microtubule polymerization or depolymerization	0.0861
GO:0044703	multi-organism reproductive process	0.0864
GO:0019953	sexual reproduction	0.0864
GO:0016482	cytosolic transport	0.0868
GO:0065004	protein-DNA complex assembly	0.0869
GO:0008610	lipid biosynthetic process	0.0876
GO:0010498	proteasomal protein catabolic process	0.0878
GO:0009123	nucleoside monophosphate metabolic process	0.0899
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	0.0899
GO:0044784	metaphase/anaphase transition of cell cycle	0.0899
GO:0033047	regulation of mitotic sister chromatid segregation	0.0899
GO:0010965	regulation of mitotic sister chromatid separation	0.0899
GO:0051306	mitotic sister chromatid separation	0.0899
GO:1905818	regulation of chromosome separation	0.0899
GO:0033013	tetrapyrrole metabolic process	0.0901
GO:0007611	learning or memory	0.0902
GO:0050890	cognition	0.0902
GO:0048511	rhythmic process	0.0906
GO:0048102	autophagic cell death	0.0916
GO:0035071	salivary gland cell autophagic cell death	0.0916
GO:0042327	positive regulation of phosphorylation	0.0918
GO:0043933	macromolecular complex subunit organization	0.0922
GO:0010466	negative regulation of peptidase activity	0.0922
GO:0010951	negative regulation of endopeptidase activity	0.0922
GO:0010955	negative regulation of protein processing	0.0922
GO:1903318	negative regulation of protein maturation	0.0922
GO:0019216	regulation of lipid metabolic process	0.0926
GO:0045186	zonula adherens assembly	0.0937
GO:0051383	kinetochore organization	0.0945
GO:1902903	regulation of supramolecular fiber organization	0.0953
GO:0071704	organic substance metabolic process	0.0955
GO:0032271	regulation of protein polymerization	0.0956
GO:0048260	positive regulation of receptor-mediated endocytosis	0.0961
GO:0007395	dorsal closure; spreading of leading edge cells	0.0961
GO:0061382	Malpighian tubule tip cell differentiation	0.0965
GO:0051297	centrosome organization	0.0968
GO:0031109	microtubule polymerization or depolymerization	0.097
GO:0044772	mitotic cell cycle phase transition	0.097
GO:0032007	negative regulation of TOR signaling	0.0974
GO:0016485	protein processing	0.0974
GO:0008355	olfactory learning	0.0978
GO:0044238	primary metabolic process	0.098
GO:0032101	regulation of response to external stimulus	0.0981
GO:0007435	salivary gland morphogenesis	0.0983
GO:0022612	gland morphogenesis	0.0983
GO:0042675	compound eye cone cell differentiation	0.0987
GO:0002385	mucosal immune response	0.0991
GO:0002251	organ or tissue specific immune response	0.0991
GO:0009798	axis specification	0.0992
GO:0051146	striated muscle cell differentiation	0.0994
GO:0048646	anatomical structure formation involved in morphogenesis	0.0995
GO:0009058	biosynthetic process	0.1001
GO:0034470	ncRNA processing	0.1001
GO:0048232	male gamete generation	0.1009
GO:0007283	spermatogenesis	0.1009
GO:0031033	myosin filament organization	0.1009
GO:0010038	response to metal ion	0.1023
GO:0007307	eggshell chorion gene amplification	0.1023
GO:0006277	DNA amplification	0.1023
GO:1903362	regulation of cellular protein catabolic process	0.1024
GO:0070371	ERK1 and ERK2 cascade	0.1026
GO:0070372	regulation of ERK1 and ERK2 cascade	0.1026
GO:0051057	positive regulation of small GTPase mediated signal transduction	0.1026
GO:0046579	positive regulation of Ras protein signal transduction	0.1026
GO:0048599	oocyte development	0.1026
GO:0031503	protein complex localization	0.1027
GO:0032543	mitochondrial translation	0.1029
GO:0010467	gene expression	0.1045
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	0.1052
GO:0042990	regulation of transcription factor import into nucleus	0.1054
GO:0042991	transcription factor import into nucleus	0.1054
GO:0010558	negative regulation of macromolecule biosynthetic process	0.1054
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	0.1054
GO:0007179	transforming growth factor beta receptor signaling pathway	0.1055
GO:0007088	regulation of mitotic nuclear division	0.1063
GO:0051783	regulation of nuclear division	0.1063
GO:0030237	female sex determination	0.107
GO:0045197	establishment or maintenance of epithelial cell apical/basal polarity	0.1093
GO:0009890	negative regulation of biosynthetic process	0.1097
GO:0031327	negative regulation of cellular biosynthetic process	0.1097
GO:0008595	anterior/posterior axis specification; embryo	0.1098
GO:0007351	tripartite regional subdivision	0.1098
GO:0198738	cell-cell signaling by wnt	0.1098
GO:0006470	protein dephosphorylation	0.1099
GO:0072330	monocarboxylic acid biosynthetic process	0.1103
GO:0007601	visual perception	0.1112
GO:0016579	protein deubiquitination	0.1124
GO:0016540	protein autoprocessing	0.1125
GO:0046460	neutral lipid biosynthetic process	0.1136
GO:0046463	acylglycerol biosynthetic process	0.1136
GO:0006413	translational initiation	0.1138
GO:0032411	positive regulation of transporter activity	0.1138
GO:0032412	regulation of ion transmembrane transporter activity	0.1138
GO:0032414	positive regulation of ion transmembrane transporter activity	0.1138
GO:0032409	regulation of transporter activity	0.1138
GO:0022898	regulation of transmembrane transporter activity	0.1138
GO:0008343	adult feeding behavior	0.1139
GO:0045834	positive regulation of lipid metabolic process	0.1147
GO:0051248	negative regulation of protein metabolic process	0.1169
GO:0032269	negative regulation of cellular protein metabolic process	0.1169
GO:0052547	regulation of peptidase activity	0.1174
GO:0032270	positive regulation of cellular protein metabolic process	0.1186
GO:0035070	salivary gland histolysis	0.1188
GO:0051252	regulation of RNA metabolic process	0.119
GO:0016059	deactivation of rhodopsin mediated signaling	0.1193
GO:0044708	single-organism behavior	0.12
GO:0090254	cell elongation involved in imaginal disc-derived wing morphogenesis	0.1204
GO:0030703	eggshell formation	0.1213
GO:0055086	nucleobase-containing small molecule metabolic process	0.1217
GO:0010824	regulation of centrosome duplication	0.1217
GO:0046605	regulation of centrosome cycle	0.1217
GO:0051961	negative regulation of nervous system development	0.1219
GO:0022008	neurogenesis	0.1219
GO:0010458	exit from mitosis	0.122
GO:0000959	mitochondrial RNA metabolic process	0.1227
GO:0034249	negative regulation of cellular amide metabolic process	0.1237
GO:0000578	embryonic axis specification	0.1242
GO:0097164	ammonium ion metabolic process	0.1244
GO:0045570	regulation of imaginal disc growth	0.1255
GO:0031323	regulation of cellular metabolic process	0.1255
GO:0098813	nuclear chromosome segregation	0.1256
GO:0006446	regulation of translational initiation	0.1257
GO:0009952	anterior/posterior pattern specification	0.1263
GO:0098722	asymmetric stem cell division	0.1266
GO:0031345	negative regulation of cell projection organization	0.1267
GO:0051247	positive regulation of protein metabolic process	0.127
GO:0007623	circadian rhythm	0.1279
GO:0030833	regulation of actin filament polymerization	0.1281
GO:0050829	defense response to Gram-negative bacterium	0.1284
GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	0.1288
GO:0009994	oocyte differentiation	0.1292
GO:0071479	cellular response to ionizing radiation	0.1296
GO:1901216	positive regulation of neuron death	0.1297
GO:0042478	regulation of eye photoreceptor cell development	0.1308
GO:0045314	regulation of compound eye photoreceptor development	0.1308
GO:0016061	regulation of light-activated channel activity	0.1308
GO:0032504	multicellular organism reproduction	0.1309
GO:0071897	DNA biosynthetic process	0.1311
GO:0031023	microtubule organizing center organization	0.1315
GO:0014014	negative regulation of gliogenesis	0.1318
GO:0060253	negative regulation of glial cell proliferation	0.1318
GO:1901576	organic substance biosynthetic process	0.132
GO:0051171	regulation of nitrogen compound metabolic process	0.1327
GO:0001934	positive regulation of protein phosphorylation	0.1331
GO:0006334	nucleosome assembly	0.1334
GO:0007309	oocyte axis specification	0.1341
GO:0002697	regulation of immune effector process	0.1348
GO:0090317	negative regulation of intracellular protein transport	0.1358
GO:0046823	negative regulation of nucleocytoplasmic transport	0.1358
GO:0032387	negative regulation of intracellular transport	0.1358
GO:0035146	tube fusion	0.1363
GO:0035147	branch fusion; open tracheal system	0.1363
GO:0044092	negative regulation of molecular function	0.1365
GO:0040001	establishment of mitotic spindle localization	0.137
GO:0009948	anterior/posterior axis specification	0.1372
GO:0007229	integrin-mediated signaling pathway	0.1372
GO:0000041	transition metal ion transport	0.1375
GO:0042177	negative regulation of protein catabolic process	0.1375
GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process	0.1375
GO:1903363	negative regulation of cellular protein catabolic process	0.1375
GO:0019637	organophosphate metabolic process	0.1386
GO:1901800	positive regulation of proteasomal protein catabolic process	0.139
GO:0051647	nucleus localization	0.1397
GO:0000003	reproduction	0.14
GO:0034622	cellular macromolecular complex assembly	0.1414
GO:0044085	cellular component biogenesis	0.1415
GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling	0.1418
GO:0046599	regulation of centriole replication	0.1418
GO:0071684	organism emergence from protective structure	0.1418
GO:0040019	positive regulation of embryonic development	0.1427
GO:0048869	cellular developmental process	0.1431
GO:0043410	positive regulation of MAPK cascade	0.1432
GO:0008348	negative regulation of antimicrobial humoral response	0.1439
GO:0002921	negative regulation of humoral immune response	0.1439
GO:0035017	cuticle pattern formation	0.144
GO:0003002	regionalization	0.1444
GO:0007224	smoothened signaling pathway	0.1451
GO:0046824	positive regulation of nucleocytoplasmic transport	0.1453
GO:0090288	negative regulation of cellular response to growth factor stimulus	0.1458
GO:0050953	sensory perception of light stimulus	0.1459
GO:2000116	regulation of cysteine-type endopeptidase activity	0.1467
GO:0019101	female somatic sex determination	0.1471
GO:0002777	antimicrobial peptide biosynthetic process	0.1472
GO:0002805	regulation of antimicrobial peptide biosynthetic process	0.1472
GO:0007379	segment specification	0.1478
GO:0008285	negative regulation of cell proliferation	0.148
GO:0048512	circadian behavior	0.1485
GO:0007059	chromosome segregation	0.1486
GO:0050768	negative regulation of neurogenesis	0.1492
GO:0051656	establishment of organelle localization	0.1495
GO:0032268	regulation of cellular protein metabolic process	0.1502
GO:0034660	ncRNA metabolic process	0.1502
GO:0014904	myotube cell development	0.1505
GO:0034314	Arp2/3 complex-mediated actin nucleation	0.1505
GO:0048741	skeletal muscle fiber development	0.1505
GO:0016055	Wnt signaling pathway	0.1507
GO:0007612	learning	0.1508
GO:0031330	negative regulation of cellular catabolic process	0.1515
GO:0007616	long-term memory	0.1518
GO:0030111	regulation of Wnt signaling pathway	0.1518
GO:0001514	selenocysteine incorporation	0.1528
GO:0035293	chitin-based larval cuticle pattern formation	0.153
GO:0006909	phagocytosis	0.1542
GO:0031440	regulation of mRNA 3'-end processing	0.1559
GO:0007626	locomotory behavior	0.1559
GO:0043902	positive regulation of multi-organism process	0.1574
GO:0006903	vesicle targeting	0.1583
GO:0000212	meiotic spindle organization	0.1587
GO:0006633	fatty acid biosynthetic process	0.1587
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.1587
GO:0000132	establishment of mitotic spindle orientation	0.1595
GO:0033554	cellular response to stress	0.1601
GO:1901214	regulation of neuron death	0.1609
GO:0070997	neuron death	0.1609
GO:0044711	single-organism biosynthetic process	0.1626
GO:0051293	establishment of spindle localization	0.1635
GO:0051653	spindle localization	0.1635
GO:0007389	pattern specification process	0.1636
GO:0045596	negative regulation of cell differentiation	0.1638
GO:0046426	negative regulation of JAK-STAT cascade	0.1654
GO:1904893	negative regulation of STAT cascade	0.1654
GO:0009611	response to wounding	0.1655
GO:0008542	visual learning	0.166
GO:0045595	regulation of cell differentiation	0.1662
GO:0033363	secretory granule organization	0.1664
GO:0045572	positive regulation of imaginal disc growth	0.1665
GO:1903507	negative regulation of nucleic acid-templated transcription	0.1666
GO:0045892	negative regulation of transcription; DNA-templated	0.1666
GO:1902679	negative regulation of RNA biosynthetic process	0.1666
GO:0002183	cytoplasmic translational initiation	0.1693
GO:0007308	oocyte construction	0.1699
GO:0006950	response to stress	0.1703
GO:0006508	proteolysis	0.1705
GO:0045862	positive regulation of proteolysis	0.1709
GO:0008033	tRNA processing	0.1713
GO:0010977	negative regulation of neuron projection development	0.1718
GO:0072499	photoreceptor cell axon guidance	0.1723
GO:1903364	positive regulation of cellular protein catabolic process	0.1724
GO:0010564	regulation of cell cycle process	0.1726
GO:0008069	dorsal/ventral axis specification; ovarian follicular epithelium	0.1729
GO:0051246	regulation of protein metabolic process	0.1739
GO:0006796	phosphate-containing compound metabolic process	0.1751
GO:0035151	regulation of tube size; open tracheal system	0.1758
GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	0.1763
GO:1901799	negative regulation of proteasomal protein catabolic process	0.1763
GO:0043525	positive regulation of neuron apoptotic process	0.1764
GO:0048024	regulation of mRNA splicing; via spliceosome	0.177
GO:0002168	instar larval development	0.1778
GO:0032879	regulation of localization	0.1784
GO:0045199	maintenance of epithelial cell apical/basal polarity	0.1798
GO:0042692	muscle cell differentiation	0.1802
GO:0007163	establishment or maintenance of cell polarity	0.1802
GO:0044249	cellular biosynthetic process	0.1806
GO:0051726	regulation of cell cycle	0.1808
GO:0035190	syncytial nuclear migration	0.1808
GO:0072348	sulfur compound transport	0.1824
GO:0051028	mRNA transport	0.1829
GO:0032984	macromolecular complex disassembly	0.1839
GO:0007310	oocyte dorsal/ventral axis specification	0.184
GO:0042391	regulation of membrane potential	0.184
GO:0042176	regulation of protein catabolic process	0.184
GO:0048149	behavioral response to ethanol	0.1847
