### Overlap of enriched GO-terms in each sex-asex comparison 
# Intersections	= species pairs compared = Tbi = T. bartmani - T. tahoe; Tce = T. cristinae - T. monikensis; Tps = T. poppensis - T. douglasi; Tcm = T. californicum - T. shepardi; Tpa = T. podura - T. genevievae
# Degree = number of sets overlapping	
# Observed.Overlap = observed overlap between sets	
# Expected.Overlap = expected overlap between sets
# FE = fisher exact test
# P.value = p value
# FDR_BH = FDR
# Tissue = Tissue used. WB = whole-body, RT = reproductive tract, LG = Legs
Intersections	Degree	Observed.Overlap	Expected.Overlap	FE	P.value	FDR_BH	Tissue
Tps	1	165	NA	NA	NA	NA	RT
Tbi & Tce	2	2	2.468161144	0.810319863	0.715063584	1	RT
Tbi & Tcm	2	2	1.981481481	1.009345794	0.596162702	1	RT
Tbi & Tpa	2	1	1.460038986	0.684913218	0.776017621	1	RT
Tbi & Tps	2	6	5.735867446	1.046049278	0.516484722	1	RT
Tce & Tcm	2	3	1.314814815	2.281690141	0.142878592	0.814562805	RT
Tce & Tpa	2	0	0.968810916	0	1	1	RT
Tce & Tps	2	15	3.806042885	3.941101152	3.04E-06	7.91E-05	RT
Tcm & Tpa	2	2	0.777777778	2.571428571	0.181880306	0.814562805	RT
Tcm & Tps	2	5	3.055555556	1.636363636	0.187976032	0.814562805	RT
Tpa & Tps	2	4	2.251461988	1.776623377	0.185492507	0.814562805	RT
Tbi & Tce & Tcm	3	0	0.045706688	0	1	1	RT
Tbi & Tce & Tpa	3	0	0.033678612	0	1	1	RT
Tbi & Tce & Tps	3	0	0.132308833	0	1	1	RT
Tbi & Tcm & Tpa	3	0	0.027037759	0	1	1	RT
Tbi & Tcm & Tps	3	0	0.106219768	0	1	1	RT
Tbi & Tpa & Tps	3	0	0.078267197	0	1	1	RT
Tce & Tcm & Tpa	3	0	0.017940943	0	1	1	RT
Tce & Tcm & Tps	3	1	0.070482276	14.18796415	0.068140711	0.814562805	RT
Tce & Tpa & Tps	3	0	0.051934308	0	1	1	RT
Tcm & Tpa & Tps	3	0	0.041693741	0	1	1	RT
Tbi & Tce & Tcm & Tpa	4	0	0.000623678	0	1	1	RT
Tbi & Tce & Tcm & Tps	4	0	0.002450164	0	1	1	RT
Tbi & Tce & Tpa & Tps	4	0	0.001805384	0	1	1	RT
Tbi & Tcm & Tpa & Tps	4	0	0.001449393	0	1	1	RT
Tce & Tcm & Tpa & Tps	4	0	0.000961746	0	1	1	RT
Tbi & Tce & Tcm & Tpa & Tps	5	0	3.34E-05	0	1	1	RT
Tbi	1	136	NA	NA	NA	NA	LG
Tce	1	69	NA	NA	NA	NA	LG
Tcm	1	47	NA	NA	NA	NA	LG
Tpa	1	82	NA	NA	NA	NA	LG
Tps	1	48	NA	NA	NA	NA	LG
Tbi & Tce	2	0	3.086842105	0	1	1	LG
Tbi & Tcm	2	0	2.102631579	0	1	1	LG
Tbi & Tpa	2	1	3.668421053	0.272596844	0.977743621	1	LG
Tbi & Tps	2	0	2.147368421	0	1	1	LG
Tce & Tcm	2	9	1.066776316	8.436632747	6.45E-07	1.68E-05	LG
Tce & Tpa	2	3	1.861184211	1.611876988	0.28474583	1	LG
Tce & Tps	2	4	1.089473684	3.671497585	0.02233167	0.193541136	LG
Tcm & Tpa	2	2	1.267763158	1.577581733	0.363687701	1	LG
Tcm & Tps	2	1	0.742105263	1.34751773	0.529420522	1	LG
Tpa & Tps	2	2	1.294736842	1.544715447	0.373496782	1	LG
Tbi & Tce & Tcm	3	0	0.047724204	0	1	1	LG
Tbi & Tce & Tpa	3	0	0.083263504	0	1	1	LG
Tbi & Tce & Tps	3	0	0.048739612	0	1	1	LG
Tbi & Tcm & Tpa	3	0	0.05671572	0	1	1	LG
Tbi & Tcm & Tps	3	0	0.033199446	0	1	1	LG
Tbi & Tpa & Tps	3	0	0.057922438	0	1	1	LG
Tce & Tcm & Tpa	3	0	0.028774887	0	1	1	LG
Tce & Tcm & Tps	3	1	0.016843837	59.36889711	0.016710441	0.193541136	LG
Tce & Tpa & Tps	3	0	0.029387119	0	1	1	LG
Tcm & Tpa & Tps	3	0	0.020017313	0	1	1	LG
Tbi & Tce & Tcm & Tpa	4	0	0.001287298	0	1	1	LG
Tbi & Tce & Tcm & Tps	4	0	0.00075354	0	1	1	LG
Tbi & Tce & Tpa & Tps	4	0	0.001314687	0	1	1	LG
Tbi & Tcm & Tpa & Tps	4	0	0.000895511	0	1	1	LG
Tce & Tcm & Tpa & Tps	4	0	0.00045434	0	1	1	LG
Tbi & Tce & Tcm & Tpa & Tps	5	0	2.03E-05	0	1	1	LG
