### ReviGO output for reproductive-tract samples
# Group_N = functional GO term group	
# N_GOs	= Number of GO terms in group
# GO_Terms = GO terms IDs	
# GO_Desc = GO terms descriptions
# pval = enrichment p-value
Group_N	N_GOs	GO_Terms	GO_Desc	pval
Group_22	1	GO:0007295	growth of a germarium-derived egg chamber	0.01105095982331538626585390810
Group_23	1	GO:0007267	cell-cell signaling	0.01130056089748535961738191183
Group_24	1	GO:0050794	regulation of cellular process	0.01198947040479420395786049052
Group_25	1	GO:0070417	cellular response to cold	0.01245087863916053902347740876
Group_26	3	GO:0080090, GO:0031323, GO:0060255	regulation of primary metabolic process, regulation of cellular metabolic process, regulation of macromolecule metabolic process	0.01267068224998548413865344630
Group_27	4	GO:0045833, GO:0050995, GO:0050994, GO:0045834	negative regulation of lipid metabolic process, negative regulation of lipid catabolic process, regulation of lipid catabolic process, positive regulation of lipid metabolic process	0.01658059075108917496385840201
Group_28	2	GO:0060581, GO:0001708	cell fate commitment involved in pattern specification, cell fate specification	0.01807174126010927072936773367
Group_29	1	GO:0045165	cell fate commitment	0.01825156040091367462382169715
Group_30	1	GO:0019222	regulation of metabolic process	0.02306747188720069148960956391
Group_31	7	GO:0051130, GO:0048522, GO:0032880, GO:0006898, GO:0045807, GO:0050766, GO:0099003	positive regulation of cellular component organization, positive regulation of cellular process, regulation of protein localization, receptor-mediated endocytosis, positive regulation of endocytosis, positive regulation of phagocytosis, vesicle-mediated transport in synapse	0.02335070514863077054027467853
Group_32	1	GO:0006006	glucose metabolic process	0.02339914561055099495434489714
Group_33	1	GO:0016050	vesicle organization	0.02340992379690396507729229125
Group_34	6	GO:0007268, GO:0098916, GO:0030177, GO:0090263, GO:0099537, GO:0099536	chemical synaptic transmission, anterograde trans-synaptic signaling, positive regulation of Wnt signaling pathway, positive regulation of canonical Wnt signaling pathway, trans-synaptic signaling, synaptic signaling	0.02517097277959782624588738753
Group_35	1	GO:0045880	positive regulation of smoothened signaling pathway	0.02549764087799282408414447898
Group_36	1	GO:0030431	sleep	0.02749159896551038911629507114
Group_37	1	GO:0016197	endosomal transport	0.02900681198693153682283246370
Group_38	1	GO:0006895	Golgi to endosome transport	0.03064079293806048480283049473
Group_39	1	GO:0042592	homeostatic process	0.03187131627022800507810283858
Group_40	1	GO:0007588	excretion	0.03255367324716363861733724094
Group_41	4	GO:0006642, GO:0046464, GO:0046461, GO:0019433	triglyceride mobilization, acylglycerol catabolic process, neutral lipid catabolic process, triglyceride catabolic process	0.03287002239687752410352917766
Group_42	1	GO:0031936	negative regulation of chromatin silencing	0.03303695410368147905898593438
Group_43	1	GO:0050878	regulation of body fluid levels	0.03465772089935486087414805439
Group_44	1	GO:0050817	coagulation	0.03465772089935486087414805439
Group_45	2	GO:0042381, GO:0007599	hemolymph coagulation, hemostasis	0.03465772089935486087414805439
Group_46	1	GO:0045498	sex comb development	0.03681289736425314366291681524
Group_47	1	GO:0009306	protein secretion	0.03837072454922787686270648509
Group_48	1	GO:0008037	cell recognition	0.04084134161710768919536684128
Group_49	3	GO:0008038, GO:0016198, GO:0016199	neuron recognition, axon choice point recognition, axon midline choice point recognition	0.04084134161710768919536684128
Group_50	1	GO:0065007	biological regulation	0.04269725940480336171575403159
Group_51	1	GO:0006541	glutamine metabolic process	0.04275628861515862084207522888
Group_52	1	GO:0097164	ammonium ion metabolic process	0.04393392456444763927534493460
Group_53	1	GO:0060326	cell chemotaxis	0.04477133041763625257522994517
Group_54	1	GO:0051036	regulation of endosome size	0.04965923214503360804552293756
