### ReviGO output for whole-body samples
# Group_N = functional GO term group	
# N_GOs	= Number of GO terms in group
# GO_Terms = GO terms IDs	
# GO_Desc = GO terms descriptions
# pval = enrichment p-value
Group_N	N_GOs	GO_Terms	GO_Desc	pval
Group_20	6	GO:0009101, GO:0043413, GO:0009100, GO:1901137, GO:0006487, GO:0006486	glycoprotein biosynthetic process, macromolecule glycosylation, glycoprotein metabolic process, carbohydrate derivative biosynthetic process, protein N-linked glycosylation, protein glycosylation	0.02532211635280830176787955988
Group_21	1	GO:0061028	establishment of endothelial barrier	0.02635117589863841192444050603
Group_22	1	GO:0008364	pupal chitin-based cuticle development	0.02808018728116636683310149965
Group_23	1	GO:0060278	regulation of ovulation	0.02819031962636472181360901265
Group_24	2	GO:0017145, GO:0048142	stem cell division, germarium-derived cystoblast division	0.02995021883751126611308054939
Group_25	1	GO:0006730	one-carbon metabolic process	0.03031796170085468091835544356
Group_26	1	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	0.03088872626512753859759509971
Group_27	3	GO:0014067, GO:0090090, GO:0014066	negative regulation of phosphatidylinositol 3-kinase signaling, negative regulation of canonical Wnt signaling pathway, regulation of phosphatidylinositol 3-kinase signaling	0.03562049907308446498317748486
Group_28	1	GO:0018904	ether metabolic process	0.03570261280390152926032263875
Group_29	1	GO:0006662	glycerol ether metabolic process	0.03570261280390152926032263875
Group_30	1	GO:0042558	pteridine-containing compound metabolic process	0.03610771451003529672239511381
Group_31	1	GO:0035385	Roundabout signaling pathway	0.03623264175531326285424202583
Group_32	1	GO:0031400	negative regulation of protein modification process	0.03635800123001434585383402929
Group_33	1	GO:0001505	regulation of neurotransmitter levels	0.03924641573534600100424023986
Group_34	1	GO:0090251	protein localization involved in establishment of planar polarity	0.03948207780378826817354384054
Group_35	1	GO:1902414	protein localization to cell junction	0.03948207780378826817354384054
Group_36	1	GO:0071896	protein localization to adherens junction	0.03948207780378826817354384054
Group_37	1	GO:0045176	apical protein localization	0.04020684539919128196803289067
Group_38	1	GO:1903040	exon-exon junction complex assembly	0.04044827453799995835257980454
Group_39	1	GO:0007349	cellularization	0.04079434834160958169537851923
Group_40	1	GO:0045199	maintenance of epithelial cell apical/basal polarity	0.04659078201101276705549559397
Group_41	1	GO:0032486	Rap protein signal transduction	0.04758827909888168720199997591
Group_42	1	GO:0035214	eye-antennal disc development	0.04839494493016626292497035879
Group_43	1	GO:0070085	glycosylation	0.04845069375499794576715803067
