### GO term enrichment for convergent genes in leg samples when mapped to different ref transcriptomes (see ms)
# GO.ID	= GO term ID
# GO_desc = GO term description	
# toTbi_GSEA = Gene set enrichment p-value when mapped to Timema bartmani
# toTte_GSEA = Gene set enrichment p-value when mapped to Timema tahoe	
# toTce_GSEA = Gene set enrichment p-value when mapped to Timema cristinae
# toTms_GSEA = Gene set enrichment p-value when mapped to Timema monikensis
# toTps_GSEA = Gene set enrichment p-value when mapped to Timema poppensis
# toTdi_GSEA = Gene set enrichment p-value when mapped to Timema douglasi
# toTcm_GSEA = Gene set enrichment p-value when mapped to Timema californicum
# toTsi_GSEA = Gene set enrichment p-value when mapped to Timema shepardi
# toTpa_GSEA = Gene set enrichment p-value when mapped to Timema podura
# toTge_GSEA = Gene set enrichment p-value when mapped to Timema genevievae
# median_GSEA = Median gene set enrichment p-value across species references
GO.ID	GO_desc	toTpa_GSEA	toTge_GSEA	toTms_GSEA	toTte_GSEA	toTdi_GSEA	toTps_GSEA	toTcm_GSEA	toTsi_GSEA	toTce_GSEA	toTbi_GSEA	median_GSEA
GO:0048136	male germ-line cyst formation	0.1771	0.16349	0.02908	0.09867	0.01126	0.00801	0.0239	0.0262	0.03158	0.08448	0.03033
GO:0072594	establishment of protein localization to organelle	0.0699	0.01798	0.03818	0.09898	0.00311	0.1236	0.00656	0.00426	0.02595	0.07294	0.032065
GO:0051297	centrosome organization	0.0867	0.03331	0.03154	0.00707	0.23146	0.18513	0.03744	0.01235	0.01546	0.0304	0.032425
GO:0008283	cell proliferation	0.0668	0.07653	0.03579	0.45776	0.02986	0.0272	0.00192	0.07253	0.00244	0.01933	0.032825
GO:0042990	regulation of transcription factor import into nucleus	0.0241	0.0576	0.10806	0.12928	0.03169	0.0141	0.03564	0.00997	0.07096	0.01956	0.033665
GO:0045333	cellular respiration	0.053	0.05185	0.03157	0.03215	0.09175	0.02038	0.11253	0.03764	0.03157	0.00207	0.034895
GO:0098930	axonal transport	0.0283	0.03447	0.19546	0.0356	0.22195	0.04323	0.0182	0.0288	0.16692	0.03192	0.035035
GO:0007422	peripheral nervous system development	0.0286	0.00583	0.02221	0.07127	0.02734	0.01063	0.07166	0.13923	0.07721	0.04223	0.035415
GO:0051049	regulation of transport	0.0651	0.03752	0.0289	0.00126	0.02359	0.01162	0.17224	0.24594	0.04154	0.03472	0.03612
GO:0006281	DNA repair	0.5086	0.44487	0.00835	0.11166	0.02122	0.03205	0.04294	0.02002	0.00552	0.44271	0.037495
GO:0006605	protein targeting	0.4431	0.13053	0.02602	0.07119	0.00346	0.1169	0.01096	0.00748	0.01165	0.05065	0.038335
GO:0001556	oocyte maturation	0.0407	0.02624	NA	0.0368	NA	NA	NA	NA	NA	0.04042	0.03861
GO:0006895	Golgi to endosome transport	0.031	0.03723	0.01966	0.12968	NA	NA	0.04076	0.05215	0.0331	0.13743	0.038995
GO:0035148	tube formation	0.0044	0.0643	0.02026	0.0404	0.04334	0.03325	0.22031	0.10847	0.0394	0.00163	0.0399
GO:0007017	microtubule-based process	0.0088	0.01329	0.03965	0.01661	0.09878	0.14373	0.60973	0.62357	0.04266	0.01541	0.041155
GO:0051093	negative regulation of developmental process	0.2413	0.1476	0.02734	0.00143	0.49827	0.04841	0.03278	0.03398	0.0084	0.05164	0.041195
GO:0016336	establishment or maintenance of polarity of larval imaginal disc epithelium	0.0399	0.0231	0.00845	0.00789	0.07727	0.05471	0.47481	0.33182	0.01	0.04306	0.04148
GO:0009951	polarity specification of dorsal/ventral axis	0.0431	0.04303	NA	NA	NA	NA	NA	NA	NA	NA	0.043065
GO:0065001	specification of axis polarity	0.0431	0.04303	NA	NA	NA	NA	NA	NA	NA	NA	0.043065
GO:0021952	central nervous system projection neuron axonogenesis	NA	NA	0.19816	0.0208	NA	NA	0.00962	0.03962	0.21172	0.05031	0.044965
GO:0060997	dendritic spine morphogenesis	NA	NA	0.19816	0.0208	NA	NA	0.00962	0.03962	0.21172	0.05031	0.044965
GO:0006888	ER to Golgi vesicle-mediated transport	0.0853	0.23974	0.15184	0.04947	0.00224	0.00213	0.0006	0.01436	0.21007	0.04053	0.045
GO:0032268	regulation of cellular protein metabolic process	0.137	0.90763	0.03501	0.00473	0.00779	0.0092	0.11036	0.00749	0.05756	0.05806	0.046285
GO:0042773	ATP synthesis coupled electron transport	0.1521	0.03583	0.03688	0.67595	0.04034	0.03365	0.30292	0.25822	0.04625	0.04679	0.04652
GO:0042991	transcription factor import into nucleus	0.0241	0.0576	0.10806	0.12928	0.03169	0.0141	0.03564	1	0.07096	0.01956	0.04662
GO:0051235	maintenance of location	0.4872	0.47635	0.79141	0.02314	0.02335	0.01213	0.03893	0.05503	0.81915	0.0277	0.04698
GO:0031023	microtubule organizing center organization	0.1105	0.04297	0.02629	0.85551	0.31284	0.29165	0.05222	0.01872	0.02002	0.03967	0.047595
GO:0035185	preblastoderm mitotic cell cycle	0.0187	0.07701	NA	NA	NA	NA	NA	NA	NA	NA	0.047855
GO:0035592	establishment of protein localization to extracellular region	NA	NA	0.05672	0.23163	0.03914	0.0393	0.03468	0.03734	0.06621	0.16791	0.04801
GO:0071692	protein localization to extracellular region	NA	NA	0.05672	0.23163	0.03914	0.0393	0.03468	0.03734	0.06621	0.16791	0.04801
GO:0045910	negative regulation of DNA recombination	0.0429	0.95263	0.03601	0.2162	0.02286	0.02278	0.05384	0.9618	0.03849	0.21386	0.04837
GO:0035017	cuticle pattern formation	0.5775	0.8186	0.15622	0.01559	0.04146	0.05622	0.01206	0.00109	0.536	0.00674	0.04884
GO:0051247	positive regulation of protein metabolic process	0.8445	0.59648	0.02521	0.0409	0.02473	0.01498	0.24643	0.0617	0.03014	0.1724	0.0513
GO:0007112	male meiosis cytokinesis	0.0824	0.07797	0.10201	0.01068	0.06581	0.06231	0.00567	0.00451	0.03897	0.04106	0.051685
GO:0072330	monocarboxylic acid biosynthetic process	0.0621	0.09298	0.20547	0.00923	0.0425	0.11183	0.02659	0.01339	0.11822	0.03235	0.0523
GO:0000226	microtubule cytoskeleton organization	0.0358	0.02071	0.06204	0.0827	0.10175	0.23114	0.00738	0.0013	0.12722	0.04273	0.052385
GO:0046532	regulation of photoreceptor cell differentiation	0.9368	0.97017	0.03698	0.02691	0.0315	0.05136	0.08496	0.02279	0.44176	0.05347	0.052415
GO:0006310	DNA recombination	0.0569	0.62305	0.04914	0.3394	0.00169	0.00088	0.00524	0.12732	0.00302	0.52381	0.05302
GO:0045200	establishment of neuroblast polarity	0.8667	0.30599	0.01475	0.01155	0.05381	0.05263	0.24454	0.12629	0.01735	0.0311	0.05322
GO:0016579	protein deubiquitination	0.2428	0.16943	0.01098	0.05837	0.65432	0.14341	0.01636	0.03208	0.01857	0.04944	0.053905
GO:0090163	establishment of epithelial cell planar polarity	0.1042	0.10278	NA	NA	0.00591	0.00706	NA	NA	NA	NA	0.05492
GO:0030641	regulation of cellular pH	0.0467	0.04388	0.00785	0.29828	0.05672	0.05439	0.17873	0.17158	0.01917	0.32516	0.055555
GO:0007307	eggshell chorion gene amplification	0.0462	0.06111	0.07627	0.40701	0.0496	0.05013	0.0104	0.01213	0.1748	0.50661	0.05562
GO:0032006	regulation of TOR signaling	0.1718	0.11687	0.03214	0.0169	0.0015	0.02582	0.11539	0.13212	0.06111	0.05143	0.05627
GO:0006903	vesicle targeting	0.0531	0.06006	0.12056	0.23512	0.02413	0.01755	0.0036	0.00661	0.37039	0.21198	0.05658
GO:0045861	negative regulation of proteolysis	0.0319	0.00314	0.13648	0.039	0.02618	0.08676	0.17448	0.16987	0.0588	0.05446	0.05663
GO:0000280	nuclear division	0.1063	0.02837	0.81428	0.00637	0.04061	0.04917	0.16852	0.06189	0.70737	0.05146	0.056675
GO:0022904	respiratory electron transport chain	0.1559	0.02202	0.03808	0.44458	0.05653	0.05748	0.17447	0.06952	0.05294	0.019	0.057005
GO:0017038	protein import	0.0558	0.05837	0.04446	0.13829	0.04388	0.82856	0.13588	0.252	0.01211	0.05379	0.057085
GO:0048741	skeletal muscle fiber development	0.1151	0.07588	0.17892	0.00541	0.01302	0.10621	0.03387	0.03903	0.14611	0.03256	0.057455
GO:0021954	central nervous system neuron development	0.0067	0.0099	0.16047	0.03364	0.06533	0.09694	0.54443	0.04976	0.07942	0.02484	0.057545
GO:0051241	negative regulation of multicellular organismal process	0.2073	0.13541	0.05169	0.00262	0.58344	0.08391	0.05064	0.05107	0.02928	0.06384	0.057765
GO:0006662	glycerol ether metabolic process	0.0241	0.00398	0.52252	0.05338	0.01885	0.02719	0.07864	0.08044	0.30117	0.06226	0.05782
GO:0051480	regulation of cytosolic calcium ion concentration	0.0413	0.03611	0.25031	0.15244	0.05711	0.0609	0.02023	0.02068	0.26406	0.14764	0.059005
GO:0071560	cellular response to transforming growth factor beta stimulus	0.8842	0.67048	0.19586	0.00474	0.06188	0.14062	0.05766	0.02877	0.02891	0.0221	0.05977
GO:0007098	centrosome cycle	0.1478	0.09312	0.08978	0.02847	0.00243	0.00448	0.04908	0.0219	0.0718	0.09933	0.06044
GO:0043269	regulation of ion transport	0.1589	0.14731	0.05837	0.04504	0.12042	0.06373	0.00767	0.01064	0.10844	0.01252	0.06105
GO:0051172	negative regulation of nitrogen compound metabolic process	0.0439	0.0457	0.02645	0.01414	0.24693	0.07271	0.06669	0.22664	0.05591	0.07625	0.0613
GO:0006414	translational elongation	0.0939	0.03746	0.07113	0.04448	0.15229	0.27226	0.00605	0.0012	0.07657	0.05246	0.061795
GO:0030431	sleep	0.1619	0.04472	0.07371	0.08298	0.06315	0.061	0.00301	0.00045	0.06399	0.05309	0.062075
GO:0045314	regulation of compound eye photoreceptor development	0.5657	0.51329	0.03776	0.14934	0.06196	0.06466	0.05277	0.04103	0.00629	0.30634	0.06331
GO:0051533	positive regulation of NFAT protein import into nucleus	0.172	0.25088	0.15629	0.00378	0.08752	0.03912	0.00539	0.01719	0.09549	0.01102	0.06332
GO:0007446	imaginal disc growth	0.1189	0.05086	0.06368	0.01777	0.08913	0.03584	0.06736	0.11434	0.03516	0.06313	0.063405
GO:0019725	cellular homeostasis	0.0106	0.04304	0.34721	0.00979	0.22641	0.1512	0.05314	0.02677	0.35214	0.07373	0.063435
GO:0040015	negative regulation of multicellular organism growth	0.0628	0.02662	0.04114	NA	0.47255	0.48389	0.12713	0.0646	0.04064	NA	0.0637
GO:0009620	response to fungus	0.0139	0.00993	0.28521	0.08967	0.01915	0.00824	0.06238	0.06613	0.27864	0.07638	0.064255
GO:0042775	mitochondrial ATP synthesis coupled electron transport	0.1924	0.04212	0.08871	0.00718	0.04364	0.06935	0.4397	0.29629	0.05924	0.04408	0.064295
GO:0007379	segment specification	0.2371	0.13029	0.07005	0.01849	0.09211	0.14019	0.03659	0.04841	0.0399	0.05892	0.064485
GO:0052548	regulation of endopeptidase activity	0.0811	0.00332	0.05548	0.0686	0.03007	0.06134	0.1725	0.03869	0.15271	0.23416	0.06497
GO:0014902	myotube differentiation	0.6723	0.43229	0.06604	1	0.00128	0.17093	0.0178	0.02667	0.03869	0.06462	0.06533
GO:0031167	rRNA methylation	NA	NA	NA	NA	0.06411	0.06669	NA	NA	NA	NA	0.0654
GO:0046034	ATP metabolic process	0.1076	0.06643	0.0652	0.08573	0.02941	0.02602	0.10505	0.15442	0.04687	0.01014	0.065815
GO:0060548	negative regulation of cell death	0.2519	0.08441	0.0647	0.0992	0.02272	0.00624	0.00583	0.0682	0.06411	0.41926	0.06645
GO:0035149	"lumen formation, open tracheal system"	0.0287	0.00262	0.07356	0.00612	0.19242	0.13649	0.27844	0.32424	0.06	0.05346	0.06678
GO:0032879	regulation of localization	0.0401	0.04947	0.02666	0.42298	0.06857	0.06523	0.1935	0.17646	0.11001	0.03877	0.0669
GO:0071243	cellular response to arsenic-containing substance	NA	NA	NA	NA	NA	NA	0.06023	0.07363	NA	NA	0.06693
GO:0071248	cellular response to metal ion	NA	NA	NA	NA	NA	NA	0.06023	0.07363	NA	NA	0.06693
GO:0071276	cellular response to cadmium ion	NA	NA	NA	NA	NA	NA	0.06023	0.07363	NA	NA	0.06693
GO:0070646	protein modification by small protein removal	0.1474	0.22953	0.03514	0.05206	0.48988	0.15217	0.04822	0.07799	0.04298	0.05874	0.068365
GO:0006633	fatty acid biosynthetic process	0.08	0.11619	0.21507	0.01129	0.05739	0.14507	0.03275	0.01899	0.10239	0.03877	0.068695
GO:0022402	cell cycle process	0.0442	0.01919	0.70478	0.05274	0.47211	0.51883	0.0131	0.00352	0.65441	0.08629	0.069515
GO:0006303	double-strand break repair via nonhomologous end joining	0.0327	0.25193	0.06089	0.07835	0.05429	0.06186	0.20593	0.55254	0.05489	0.35997	0.070105
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	0.6396	0.44243	0.02569	0.26756	0.00297	0.00407	0.07837	0.06209	0.02552	0.2762	0.07023
GO:0018904	ether metabolic process	0.0241	1	0.52252	0.05338	0.01885	0.02719	0.07864	0.08044	0.30117	0.06226	0.07045
GO:0036124	histone H3-K9 trimethylation	0.0233	0.01261	0.10582	0.43336	0.05604	0.05294	0.08584	0.08517	0.01501	0.49156	0.070605
GO:1900112	regulation of histone H3-K9 trimethylation	0.0233	0.01261	0.10582	0.43336	0.05604	0.05294	0.08584	0.08517	0.01501	0.49156	0.070605
GO:1900114	positive regulation of histone H3-K9 trimethylation	0.0233	0.01261	0.10582	0.43336	0.05604	0.05294	0.08584	0.08517	0.01501	0.49156	0.070605
GO:0048137	spermatocyte division	0.1737	0.05474	0.09609	0.0882	0.03346	0.03206	0.00211	0.006	0.1018	0.09489	0.07147
GO:0070271	protein complex biogenesis	0.1875	0.04136	0.05088	0.27156	0.01557	0.01471	0.03897	0.09266	0.10489	0.24946	0.07177
GO:0090087	regulation of peptide transport	0.105	0.03339	0.35884	0.01034	0.1802	0.04363	0.02444	0.10056	0.19075	0.01122	0.072095
GO:0045792	negative regulation of cell size	0.148	0.08422	0.0121	0.00023	0.34735	0.25865	0.11414	0.06018	0.01569	0.00027	0.0722
GO:0042993	positive regulation of transcription factor import into nucleus	0.0517	0.10746	0.13936	0.30596	0.0429	0.01964	0.12373	0.01763	0.09305	0.02859	0.072375
GO:0016082	synaptic vesicle priming	0.0742	0.10274	0.07157	0.04668	0.0662	0.24466	0.12663	0.01152	0.07574	0.01068	0.072885
GO:0002790	peptide secretion	0.1754	0.08051	0.58284	0.15183	0.0455	0.01084	0.06623	0.02371	0.15261	0.03854	0.07337
GO:0006334	nucleosome assembly	0.0428	0.0632	0.0665	0.0805	0.00531	0.00696	0.39546	0.40171	0.16181	0.18252	0.0735
GO:0006606	protein import into nucleus	0.0909	0.03868	0.09043	0.10783	0.01937	0.00147	0.09995	0.26631	0.01722	0.05758	0.074005
GO:0001408	guanine nucleotide transport	NA	NA	0.07252	NA	NA	NA	NA	NA	0.07644	NA	0.07448
GO:0070729	cyclic nucleotide transport	NA	NA	0.07252	NA	NA	NA	NA	NA	0.07644	NA	0.07448
GO:0070731	cGMP transport	NA	NA	0.07252	NA	NA	NA	NA	NA	0.07644	NA	0.07448
GO:0009144	purine nucleoside triphosphate metabolic process	0.0714	0.04401	0.10906	0.11854	0.04225	0.03832	0.15787	0.22478	0.07905	0.016	0.075225
GO:0009205	purine ribonucleoside triphosphate metabolic process	0.0714	0.04401	0.10906	0.11854	0.04225	0.03832	0.15787	0.22478	0.07905	0.016	0.075225
GO:1903047	mitotic cell cycle process	0.2458	0.05926	0.2333	0.01031	0.11178	0.0885	0.05605	0.01577	0.27253	0.06233	0.075415
GO:0016335	morphogenesis of larval imaginal disc epithelium	0.2101	0.07018	0.05987	0.18446	0.07533	0.07669	0.68825	0.42567	0.0664	0.0306	0.07601
GO:0009649	entrainment of circadian clock	0.0513	0.0105	0.03286	0.10167	0.0101	0.03773	0.30501	0.25039	0.14717	0.21755	0.076485
GO:0006461	protein complex assembly	0.2186	0.04958	0.0547	0.3061	0.01812	0.01701	0.0409	0.09918	0.11763	0.28243	0.07694
GO:0042760	very long-chain fatty acid catabolic process	0.0159	0.01853	0.08801	0.02228	0.27511	0.26886	0.07186	0.08214	0.15122	0.0178	0.077
GO:0007035	vacuolar acidification	0.0852	0.07253	0.05507	0.18441	0.02388	0.02108	0.15274	0.14799	0.04231	0.17305	0.078865
GO:0071241	cellular response to inorganic substance	0.2434	0.26818	0.16255	0.10854	0.04813	0.05086	0.02498	0.03199	0.1706	0.01817	0.0797
GO:0032388	positive regulation of intracellular transport	0.083	0.1791	0.19971	0.16604	0.07653	0.04708	0.03982	0.0108	0.26566	0.00956	0.079765
GO:0070278	extracellular matrix constituent secretion	0.086	0.07415	0.09156	0.05329	NA	NA	NA	NA	0.10416	0.05088	0.080075
GO:0042493	response to drug	0.4229	0.53917	0.03824	0.34568	0.03739	0.01925	0.06463	0.09638	0.02998	0.42834	0.080505
GO:0042992	negative regulation of transcription factor import into nucleus	0.0527	0.06183	0.2402	0.17952	0.03418	0.0517	0.06832	0.09663	0.3004	0.40398	0.082475
GO:0042994	cytoplasmic sequestering of transcription factor	0.0527	0.06183	0.2402	0.17952	0.03418	0.0517	0.06832	0.09663	0.3004	0.40398	0.082475
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	0.0748	0.09055	0.04744	0.19589	0.02951	0.0384	0.38179	0.04984	0.11589	0.25506	0.082675
GO:0051298	centrosome duplication	0.1826	0.13951	0.09896	0.06742	0.01559	0.0101	0.04092	0.05802	0.10874	0.20898	0.08319
GO:0007541	"sex determination, primary response to X:A ratio"	0.0776	0.30884	0.02102	0.13866	0.05847	0.01749	0.00733	0.24436	0.09117	0.14564	0.084385
GO:0030003	cellular cation homeostasis	0.0925	0.1395	0.66467	0.03439	0.01748	0.03589	0.25876	0.22846	0.07828	0.02026	0.08539
GO:0007179	transforming growth factor beta receptor signaling pathway	0.7668	0.86158	0.00903	0.01471	0.2762	0.28789	0.11939	0.04576	0.00893	0.05145	0.08542
GO:0010604	positive regulation of macromolecule metabolic process	0.6285	0.44462	0.0593	0.00372	0.07859	0.10476	0.36314	0.09367	0.016	0.03446	0.08613
GO:0010721	negative regulation of cell development	0.0909	0.08141	0.12029	0.01091	0.95948	0.23043	0.03411	0.03158	0.07661	0.10687	0.086155
GO:0030010	establishment of cell polarity	0.294	0.11395	0.28759	0.05941	0.02633	0.05004	0.02732	0.01525	0.18965	0.22065	0.08668
GO:0000278	mitotic cell cycle	0.323	0.13159	0.31889	0.01103	0.08171	0.03995	0.09191	0.01652	0.45123	0.05369	0.08681
GO:0006612	protein targeting to membrane	0.0051	0.00367	0.07985	0.06916	0.09379	0.12167	0.10248	0.10809	0.1211	0.04352	0.08682
GO:0021953	central nervous system neuron differentiation	1	1	0.16047	0.03364	0.06533	0.09694	0.54443	0.04976	0.07942	0.02484	0.08818
GO:0034504	protein localization to nucleus	0.158	0.07543	0.09385	0.08837	0.02573	0.80467	0.08872	0.27679	0.01843	0.05935	0.088545
GO:0045596	negative regulation of cell differentiation	0.2247	0.09347	0.0839	0.03332	0.92919	0.17782	0.01723	0.02397	0.03155	0.23526	0.088685
GO:0007601	visual perception	0.0595	0.13243	0.11575	0.12371	0.07865	0.09085	0.00569	0.25495	0.01247	0.08699	0.08892
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	0.0895	0.10579	0.06288	0.19976	0.08926	0.0904	0.00127	0.05641	0.08094	0.15333	0.08938
GO:0009948	anterior/posterior axis specification	0.0901	0.01301	0.06441	0.06681	0.08933	0.18545	0.22401	0.20691	0.12705	0.08184	0.089715
GO:0045880	positive regulation of smoothened signaling pathway	0.1076	0.09686	0.13782	0.17589	0.03776	0.06001	0.03601	0.03912	0.08287	0.38134	0.089865
GO:0009199	ribonucleoside triphosphate metabolic process	0.0873	0.05439	0.12715	0.13087	0.05005	0.04592	0.18958	0.26565	0.0925	0.01846	0.0899
GO:0035270	endocrine system development	NA	NA	NA	NA	0.09016	NA	NA	NA	NA	NA	0.09016
GO:0035271	ring gland development	NA	NA	NA	NA	0.09016	NA	NA	NA	NA	NA	0.09016
GO:0051170	nuclear import	0.0909	0.03868	0.09043	0.10783	0.01937	1	0.09995	0.26631	0.01722	0.05758	0.090665
GO:1902593	single-organism nuclear import	0.0909	0.03868	0.09043	0.10783	0.01937	1	0.09995	0.26631	0.01722	0.05758	0.090665
GO:0014904	myotube cell development	0.1151	0.07588	0.17892	1	0.01302	0.10621	0.03387	0.03903	0.14611	0.03256	0.091045
GO:0019827	stem cell population maintenance	0.8025	0.57704	0.11254	0.36486	0.0102	0.017	0.01441	0.03195	0.06973	0.51582	0.091135
GO:0098727	maintenance of cell number	0.8025	0.57704	0.11254	0.36486	0.0102	0.017	0.01441	0.03195	0.06973	0.51582	0.091135
GO:1903829	positive regulation of cellular protein localization	0.2957	0.23652	0.08934	0.30673	0.07696	0.06425	0.09338	0.01327	0.16076	0.01827	0.09136
GO:0071902	positive regulation of protein serine/threonine kinase activity	0.2083	0.04295	0.21055	0.04731	0.0451	0.09232	0.01688	0.0917	0.23038	0.20839	0.09201
GO:0042307	positive regulation of protein import into nucleus	0.0906	0.10829	0.14579	0.29489	0.05332	0.03481	0.09398	0.02392	0.09913	0.03451	0.09229
GO:1900182	positive regulation of protein localization to nucleus	0.0906	0.10829	0.14579	0.29489	0.05332	0.03481	0.09398	0.02392	0.09913	0.03451	0.09229
GO:1904591	positive regulation of protein import	0.0906	0.10829	0.14579	0.29489	0.05332	0.03481	0.09398	0.02392	0.09913	0.03451	0.09229
GO:0006277	DNA amplification	0.0462	0.06111	0.15761	0.40701	0.09217	0.09306	0.0104	0.01213	0.30604	0.50661	0.092615
GO:0018023	peptidyl-lysine trimethylation	0.451	0.55197	0.02396	0.57402	0.03803	0.03479	0.08311	0.10233	0.02124	0.83113	0.09272
GO:0071705	nitrogen compound transport	0.0821	0.0065	0.10366	0.0305	0.6909	0.19747	0.00927	0.11917	0.02952	0.18236	0.09288
GO:0051259	protein oligomerization	0.7971	0.56652	0.03891	0.8599	0.05887	0.09151	0.08009	0.09427	0.04305	0.79207	0.09289
GO:0010165	response to X-ray	NA	NA	0.09714	0.30985	NA	NA	0.03185	0.03243	0.0891	0.14533	0.09312
GO:0048285	organelle fission	0.1008	0.0236	0.891	0.82059	0.06758	0.06341	0.24342	0.08544	0.7716	0.0583	0.09312
GO:0015992	proton transport	0.6839	0.48457	0.09341	0.08198	0.00566	0.00872	0.16916	0.36577	0.07332	0.09298	0.093195
GO:0016333	morphogenesis of follicular epithelium	0.0893	0.07615	0.09917	0.55189	0.03889	0.04851	0.14653	0.67156	0.07366	0.56867	0.094235
GO:0032007	negative regulation of TOR signaling	0.4433	0.38802	0.1038	0.0756	0.02331	0.02809	0.08516	0.07634	0.11305	0.14064	0.09448
GO:2000116	regulation of cysteine-type endopeptidase activity	0.1056	0.04548	0.08073	0.11783	0.08494	0.07227	0.10486	0.02314	0.2002	0.28284	0.0949
GO:0006470	protein dephosphorylation	0.2796	0.76246	0.02411	0.20981	0.0124	0.02109	0.13721	0.05307	0.01518	0.19612	0.09514
