### Overlap of differentially expressed genes in each sex-asex comparison when mapped to different species transcriptomes
# Intersections	= species pairs compared = Tbi = T. bartmani - T. tahoe; Tce = T. cristinae - T. monikensis; Tps = T. poppensis - T. douglasi; Tcm = T. californicum - T. shepardi; Tpa = T. podura - T. genevievae
# Tissue = Tissue used. WB = whole-body, RT = reproductive tract, LG = Legs
# Degree = number of sets overlapping
# toTbi_Observed.Overlap = observed overlap between sets using T. bartmani reference transcriptome
# toTbi_Expected.Overlap = expected overlap between sets using T. bartmani reference transcriptome
# toTbi_FE = fisher exact test using T. bartmani reference transcriptome
# toTbi_P.value = p value using T. bartmani reference transcriptome
# toTbi_FDR_BH = FDR using T. bartmani reference transcriptome
# toTce_Observed.Overlap = observed overlap between sets using T. cristinae reference transcriptome
# toTce_Expected.Overlap = expected overlap between sets using T. cristinae reference transcriptome
# toTce_FE = fisher exact test using T. cristinae reference transcriptome
# toTce_P.value = p value using T. cristinae reference transcriptome
# toTce_FDR_BH = FDR using T. cristinae reference transcriptome
# toTcm_Observed.Overlap = observed overlap between sets using T. californicum reference transcriptome
# toTcm_Expected.Overlap = expected overlap between sets using T. californicum reference transcriptome
# toTcm_FE = fisher exact test using T. californicum reference transcriptome
# toTcm_P.value = p value using T. californicum reference transcriptome
# toTcm_FDR_BH = FDR using T. californicum reference transcriptome
# toTdi_Observed.Overlap = observed overlap between sets using T. douglasi reference transcriptome
# toTdi_Expected.Overlap = expected overlap between sets using T. douglasi reference transcriptome
# toTdi_FE = fisher exact test using T. douglasi reference transcriptome
# toTdi_P.value = p value using T. douglasi reference transcriptome
# toTdi_FDR_BH = FDR using T. douglasi reference transcriptome
# toTge_Observed.Overlap = observed overlap between sets using T. genevievae reference transcriptome
# toTge_Expected.Overlap = expected overlap between sets using T. genevievae reference transcriptome
# toTge_FE = fisher exact test using T. genevievae reference transcriptome
# toTge_P.value = p value using T. genevievae reference transcriptome
# toTge_FDR_BH = FDR using T. genevievae reference transcriptome
# toTms_Observed.Overlap = observed overlap between sets using T. monikensis reference transcriptome
# toTms_Expected.Overlap = expected overlap between sets using T. monikensis reference transcriptome
# toTms_FE = fisher exact test using T. monikensis reference transcriptome
# toTms_P.value = p value using T. monikensis reference transcriptome
# toTms_FDR_BH = FDR using T. monikensis reference transcriptome
# toTpa_Observed.Overlap = observed overlap between sets using T. podura reference transcriptome
# toTpa_Expected.Overlap = expected overlap between sets using T. podura reference transcriptome
# toTpa_FE = fisher exact test using T. podura reference transcriptome
# toTpa_P.value = p value using T. podura reference transcriptome
# toTpa_FDR_BH = FDR using T. podura reference transcriptome
# toTps_Observed.Overlap = observed overlap between sets using T. poppensis reference transcriptome
# toTps_Expected.Overlap = expected overlap between sets using T. poppensis reference transcriptome
# toTps_FE = fisher exact test using T. poppensis reference transcriptome
# toTps_P.value = p value using T. poppensis reference transcriptome
# toTps_FDR_BH = FDR using T. poppensis reference transcriptome
# toTsi_Observed.Overlap = observed overlap between sets using T. shepardi reference transcriptome
# toTsi_Expected.Overlap = expected overlap between sets using T. shepardi reference transcriptome
# toTsi_FE = fisher exact test using T. shepardi reference transcriptome
# toTsi_P.value = p value using T. shepardi reference transcriptome
# toTsi_FDR_BH = FDR using T. shepardi reference transcriptome
# toTte_Observed.Overlap = observed overlap between sets using T. tahoe reference transcriptome
# toTte_Expected.Overlap = expected overlap between sets using T. tahoe reference transcriptome
# toTte_FE = fisher exact test using T. tahoe reference transcriptome
# toTte_P.value = p value using T. tahoe reference transcriptome
# toTte_FDR_BH = FDR using T. tahoe reference transcriptome
Intersections	Tissue	Degree	toTbi_Observed.Overlap	toTbi_Expected.Overlap	toTbi_FE	toTbi_P.value	toTbi_FDR_BH	toTce_Observed.Overlap	toTce_Expected.Overlap	toTce_FE	toTce_P.value	toTce_FDR_BH	toTcm_Observed.Overlap	toTcm_Expected.Overlap	toTcm_FE	toTcm_P.value	toTcm_FDR_BH	toTdi_Observed.Overlap	toTdi_Expected.Overlap	toTdi_FE	toTdi_P.value	toTdi_FDR_BH	toTge_Observed.Overlap	toTge_Expected.Overlap	toTge_FE	toTge_P.value	toTge_FDR_BH	toTms_Observed.Overlap	toTms_Expected.Overlap	toTms_FE	toTms_P.value	toTms_FDR_BH	toTpa_Observed.Overlap	toTpa_Expected.Overlap	toTpa_FE	toTpa_P.value	toTpa_FDR_BH	toTps_Observed.Overlap	toTps_Expected.Overlap	toTps_FE	toTps_P.value	toTps_FDR_BH	toTsi_Observed.Overlap	toTsi_Expected.Overlap	toTsi_FE	toTsi_P.value	toTsi_FDR_BH	toTte_Observed.Overlap	toTte_Expected.Overlap	toTte_FE	toTte_P.value	toTte_FDR_BH
Tpa & Tbi	WB	2	32	18.28004821	1.750542429	0.001329603	0.017284837	56	37.29400239	1.501581927	0.001247399	0.018169366	56	43.65429285	1.282806257	0.030025318	0.065054855	55	36.05652979	1.525382512	0.000946573	0.024610894	29	15.37368485	1.886340216	0.000708196	0.009206543	51	36.30796227	1.404650573	0.007813819	0.040631858	16	13.48611946	1.186405033	0.274811516	0.494760359	55	35.46387708	1.550873862	0.000641785	0.005562136	62	41.92900564	1.478689968	0.001024647	0.006262636	36	19.01644343	1.893098472	0.000150126	0.003903274
Tps & Tbi	WB	2	38	38.54705818	0.985808043	0.565539491	0.639305512	58	60.37596604	0.960647155	0.653228223	0.808758753	74	64.14740041	1.153593123	0.101195076	0.164441999	47	44.30072977	1.060930604	0.354151265	0.575495806	50	43.12831056	1.159331292	0.144834939	0.307385308	60	58.81289757	1.02018439	0.454505261	0.590856839	42	40.45835837	1.038104404	0.421611518	0.576942077	51	45.9143511	1.11076382	0.22918142	0.43222668	73	61.55178029	1.185993316	0.065331943	0.09763981	46	40.85614723	1.125901562	0.211169047	0.345434067
Tps & Tce	WB	2	47	40.48131916	1.161029358	0.150337725	0.260585389	27	17.2130184	1.568580209	0.010792004	0.042630207	38	27.22891566	1.395575221	0.020010064	0.057806851	17	19.75710707	0.860449859	0.779251883	1	24	26.08054178	0.920226282	0.701859824	0.868969306	28	15.09015135	1.855514856	0.000741855	0.019288223	28	26.41918039	1.059836058	0.400720668	0.576942077	22	18.82074752	1.168922753	0.249361546	0.43222668	39	27.25010855	1.431186959	0.012744752	0.033136355	46	42.09005772	1.092894676	0.27820901	0.425496132
Tps & Tcm	WB	2	40	28.04678427	1.426188458	0.011732052	0.05083889	27	21.90747796	1.232455879	0.144593836	0.208857764	8	7.604471942	1.052012561	0.49659784	0.537980993	17	12.73009476	1.335418182	0.132207403	0.245528034	25	20.86443343	1.198211305	0.192586674	0.357660965	25	21.02303137	1.189171988	0.203410966	0.311099125	28	21.95216921	1.275500372	0.102662128	0.333885836	21	13.54680179	1.550181388	0.027443827	0.089192438	10	8.246743378	1.212599876	0.307494387	0.333118919	49	30.16225634	1.624546899	0.000315194	0.004097521
Tps & Tpa	WB	2	87	82.62057631	1.053006453	0.313677784	0.407781119	100	96.49722434	1.036299237	0.362348641	0.471053234	85	94.31998263	0.901187613	0.871026895	0.871026895	75	77.5008169	0.967731735	0.641902928	0.927193118	47	47.70830814	0.985153359	0.569157349	0.822116171	100	93.63632376	1.06796162	0.247219406	0.357094697	37	45.18062733	0.818935065	0.92421885	1	71	75.80004359	0.936674923	0.746150293	0.969995381	85	89.63851498	0.948253103	0.724237694	0.724237694	81	80.34128281	1.008198988	0.486912525	0.624221378
Tce & Tpa & Tbi	WB	3	3	0.586836214	5.112158944	0.021499414	0.069873096	0	0.535845033	0	1	1	2	1.051910671	1.901302131	0.283401333	0.350877841	2	0.761895957	2.625030337	0.177301283	0.307322223	1	0.38113501	2.623742178	0.317422934	0.515812267	0	0.465895107	0	1	1	1	0.335491735	2.98069936	0.285438668	0.494760359	1	0.703326319	1.421815128	0.506154372	0.731111871	3	1.037756544	2.890851439	0.086662039	0.118590158	2	0.635745196	3.145914453	0.13348763	0.247905599
Tcm & Tce & Tbi	WB	3	1	0.199210287	5.019821098	0.18081237	0.293820101	1	0.121651305	8.220215987	0.114643985	0.175337859	1	0.084809443	11.79113983	0.081386196	0.141069406	1	0.125147168	7.990592345	0.117737932	0.235475864	1	0.166683044	5.999410468	0.153692654	0.307385308	1	0.104601794	9.56006548	0.09939868	0.172291046	1	0.163007284	6.134695194	0.150567668	0.391475937	1	0.125696791	7.955652584	0.118223123	0.341533467	2	0.095473602	20.94819884	0.004200552	0.015602051	1	0.238675671	4.189786068	0.21257481	0.345434067
Tcm & Tce & Tpa	WB	3	1	0.426981188	2.342023556	0.348106729	0.430989284	2	0.194431891	10.28637838	0.016437578	0.047486336	2	0.124700691	16.03840346	0.007027537	0.044847526	2	0.21893562	9.135105572	0.020524862	0.062815125	0	0.184383898	0	1	1	2	0.166537067	12.00933845	0.012264692	0.049779012	0	0.18203337	0	1	1	1	0.207512945	4.818976463	0.187646619	0.43222668	3	0.139039226	21.5766448	0.000382335	0.004970352	1	0.469342091	2.130642062	0.375226727	0.541994161
Tcm & Tpa & Tbi	WB	3	3	0.406579356	7.378633353	0.0081068	0.05083889	4	0.681984587	5.86523519	0.00506325	0.026328897	1	0.293776854	3.403944137	0.25517312	0.331725056	1	0.490912343	2.037023541	0.388773786	0.594595201	2	0.304908008	6.559355445	0.037759261	0.098948688	2	0.649067542	3.081343419	0.137937782	0.224148896	1	0.278766079	3.58723702	0.243622464	0.494760359	1	0.506240372	1.975346208	0.398095745	0.608852316	1	0.314057902	3.184126223	0.27015625	0.305394022	4	0.455582876	8.779961247	0.00119663	0.007778095
Tps & Tce & Tbi	WB	3	3	1.237458973	2.424322798	0.127934252	0.237592182	4	0.867489661	4.611005962	0.011477364	0.042630207	4	1.545720492	2.58778998	0.07045966	0.130853654	3	0.936100814	3.204783026	0.068216464	0.161238916	2	1.069210747	1.870538625	0.289794132	0.502309828	3	0.754673066	3.975231309	0.040410052	0.105066136	1	1.006475205	0.993566453	0.636107701	0.826940012	2	0.910582096	2.196397236	0.231259342	0.43222668	4	1.523426607	2.6256598	0.067596792	0.09763981	2	1.36587577	1.464262009	0.396954997	0.543201575
Tps & Tce & Tpa	WB	3	6	2.652331419	2.262160738	0.051613751	0.119864975	3	1.386484556	2.163745703	0.162254652	0.222032682	6	2.272770666	2.639949595	0.027490394	0.064977296	1	1.637638436	0.610635399	0.807476159	1	1	1.182755251	0.845483459	0.695341339	0.868969306	4	1.20151896	3.329119333	0.032905805	0.095061214	2	1.123950229	1.779438224	0.309938722	0.503650423	0	1.503280803	0	1	1	6	2.218582438	2.704429594	0.024841888	0.049683776	3	2.685916783	1.116937062	0.504178805	0.624221378
Tps & Tcm & Tbi	WB	3	3	0.857352121	3.499145714	0.055322296	0.119864975	3	1.104077751	2.717199942	0.099525926	0.165297825	3	0.431687705	6.949468251	0.009351731	0.044847526	4	0.603157741	6.631764342	0.003261326	0.028264828	4	0.855368597	4.676346563	0.010972578	0.068802552	2	1.051382135	1.902257927	0.283219769	0.387563894	3	0.836298238	3.58723702	0.052066333	0.227850314	5	0.655418982	7.628707958	0.000540581	0.005562136	4	0.461037	8.676093251	0.001204353	0.006262636	5	0.978803484	5.108277692	0.00316756	0.014925437
Tps & Tcm & Tce	WB	3	2	0.900373375	2.221300692	0.227502897	0.328615295	2	0.314769467	6.35385643	0.039922708	0.0864992	1	0.183240288	5.457315158	0.167729324	0.24227569	2	0.268994487	7.435096621	0.030017213	0.078044753	4	0.517258296	7.733080413	0.001877593	0.016272476	2	0.269762521	7.413928332	0.03014746	0.095061214	2	0.546100111	3.662332159	0.104043371	0.333885836	5	0.268662736	18.61069414	8.23E-06	0.000213873	2	0.204109584	9.798657948	0.01793632	0.038862026	3	1.008364663	2.975114174	0.081063912	0.191605609
Tps & Tcm & Tpa	WB	3	6	1.837622109	3.265089144	0.010815638	0.05083889	4	1.764616707	2.266781213	0.101721739	0.165297825	1	0.634737754	1.575453791	0.471867294	0.533415202	3	1.055179405	2.843118419	0.089734166	0.194424027	1	0.946204201	1.056854323	0.613439366	0.839443343	4	1.67391103	2.389613264	0.087987851	0.16340601	2	0.933910335	2.141533212	0.239835061	0.494760359	2	1.082031787	1.848374534	0.294541856	0.478630516	2	0.671413106	2.978792016	0.145294745	0.171711972	4	1.924761213	2.078179866	0.128321655	0.247905599
Tps & Tpa & Tbi	WB	3	4	2.52559886	1.583782787	0.247142995	0.338195677	13	4.863199616	2.67313724	0.001397644	0.018169366	5	5.354320082	0.933825383	0.621635144	0.64650055	2	3.672024328	0.544658701	0.883266606	1	6	1.955873317	3.067683345	0.0143917	0.068802552	12	4.682843127	2.562545803	0.002961637	0.025667517	3	1.721218467	1.742951321	0.247953433	0.494760359	3	3.667344378	0.818030621	0.711353148	0.969995381	8	5.011271734	1.596401158	0.1324488	0.163984229	5	2.607176552	1.917783434	0.122122932	0.247905599
Tcm & Tce & Tpa & Tbi	WB	4	0	0.013052235	0	1	1	0	0.009798842	0	1	1	1	0.00707896	141.2636817	0.007054545	0.044847526	0	0.01037327	0	1	1	0	0.007559093	0	1	1	0	0.00832868	0	1	1	0	0.006934813	0	1	1	0	0.010039855	0	1	1	1	0.007773035	128.6498718	0.007743554	0.022370268	0	0.015230746	0	1	1
Tps & Tce & Tpa & Tbi	WB	4	1	0.081078171	12.33377602	0.077906011	0.155812022	0	0.069875079	0	1	1	1	0.129019761	7.750750677	0.12110385	0.185217652	0	0.077592062	0	1	1	0	0.048488817	0	1	1	0	0.060089125	0	1	1	0	0.042818438	0	1	1	0	0.072731467	0	1	1	1	0.124030607	8.062526024	0.116703113	0.151714047	0	0.087161407	0	1	1
Tps & Tcm & Tce & Tbi	WB	4	1	0.027523192	36.33299537	0.027152427	0.078440344	1	0.015863531	63.03766633	0.015740364	0.047486336	1	0.010402113	96.13431081	0.010349429	0.044847526	1	0.012745082	78.46163457	0.0126655	0.053893418	1	0.021205776	47.15696308	0.020985695	0.068802552	1	0.013491085	74.1230247	0.013402042	0.049779012	1	0.020804439	48.06666545	0.020592554	0.227244272	1	0.012998393	76.93258564	0.012915615	0.055967667	2	0.011410816	175.2723049	6.33E-05	0.001644612	1	0.032722713	30.55981371	0.032199119	0.104647137
Tps & Tcm & Tce & Tpa	WB	4	0	0.058992361	0	1	1	0	0.02535424	0	1	1	1	0.015294886	65.38133232	0.015181092	0.056386913	0	0.022296569	0	1	1	0	0.023457717	0	1	1	0	0.021479227	0	1	1	0	0.023232717	0	1	1	0	0.021459059	0	1	1	1	0.016617693	60.17682467	0.016483192	0.038862026	0	0.064347348	0	1	1
Tps & Tcm & Tpa & Tbi	WB	4	1	0.056173613	17.80195258	0.054640842	0.119864975	1	0.088931919	11.2445567	0.085128141	0.15809512	1	0.036032546	27.75268791	0.035403529	0.070807058	0	0.049994885	0	1	1	1	0.038791054	25.77913982	0.038057188	0.098948688	0	0.08371391	0	1	1	1	0.035578605	28.10677895	0.034960657	0.227244272	0	0.052350672	0	1	1	1	0.037535579	26.64139034	0.036852267	0.061352863	1	0.062460943	16.01000479	0.060568659	0.16976564
Tps & Tcm & Tce & Tpa & Tbi	WB	5	0	0.001803316	0	1	1	0	0.001277785	0	1	1	1	0.000868254	1151.736548	0.000867886	0.022565046	0	0.001056422	0	1	1	0	0.000961684	0	1	1	0	0.001074197	0	1	1	0	0.000885082	0	1	1	0	0.001038228	0	1	1	1	0.000929018	1076.405648	0.000928596	0.006262636	0	0.002088153	0	1	1
Tbi	GN	1	443	NA	NA	NA	NA	666	NA	NA	NA	NA	684	NA	NA	NA	NA	730	NA	NA	NA	NA	422	NA	NA	NA	NA	692	NA	NA	NA	NA	444	NA	NA	NA	NA	700	NA	NA	NA	NA	651	NA	NA	NA	NA	459	NA	NA	NA	NA
Tce	GN	1	1594	NA	NA	NA	NA	1026	NA	NA	NA	NA	1310	NA	NA	NA	NA	1392	NA	NA	NA	NA	1435	NA	NA	NA	NA	934	NA	NA	NA	NA	1410	NA	NA	NA	NA	1364	NA	NA	NA	NA	1279	NA	NA	NA	NA	1595	NA	NA	NA	NA
Tcm	GN	1	600	NA	NA	NA	NA	534	NA	NA	NA	NA	348	NA	NA	NA	NA	406	NA	NA	NA	NA	427	NA	NA	NA	NA	521	NA	NA	NA	NA	420	NA	NA	NA	NA	432	NA	NA	NA	NA	343	NA	NA	NA	NA	604	NA	NA	NA	NA
Tpa	GN	1	2049	NA	NA	NA	NA	2148	NA	NA	NA	NA	2041	NA	NA	NA	NA	2178	NA	NA	NA	NA	1594	NA	NA	NA	NA	2175	NA	NA	NA	NA	1616	NA	NA	NA	NA	2194	NA	NA	NA	NA	2107	NA	NA	NA	NA	2021	NA	NA	NA	NA
Tps	GN	1	844	NA	NA	NA	NA	669	NA	NA	NA	NA	591	NA	NA	NA	NA	466	NA	NA	NA	NA	598	NA	NA	NA	NA	683	NA	NA	NA	NA	628	NA	NA	NA	NA	477	NA	NA	NA	NA	561	NA	NA	NA	NA	800	NA	NA	NA	NA
Tce & Tbi	GN	2	90	81.67268101	1.101959663	0.162279722	0.210963638	94	81.49266547	1.153478039	0.071381747	0.08069241	123	112.1030902	1.097204366	0.131210819	0.148325274	133	123.740867	1.074826799	0.182209957	0.189498355	86	80.75343379	1.064970193	0.270283584	0.281094928	85	77.47878207	1.09707455	0.187533919	0.211994865	88	82.87529786	1.061836304	0.278193095	0.301375853	129	115.9019179	1.113010054	0.091435284	0.095092695	108	104.4179834	1.034304594	0.362142903	0.376628619	90	84.38278008	1.06656832	0.260909939	0.271346337
Tce & Tpa	GN	2	401	377.759195	1.061522804	0.069571827	0.11189367	277	262.8322004	1.053904353	0.148458983	0.157809656	365	334.5064431	1.091159849	0.019395289	0.036019822	368	369.1885046	0.996780765	0.543431728	0.543431728	294	305.0260035	0.963852251	0.795509124	0.795509124	262	243.5207384	1.075883728	0.078211612	0.096833425	301	301.6362192	0.997890773	0.53090109	0.53090109	360	363.2697257	0.990999179	0.598511723	0.598511723	366	337.9549787	1.082984489	0.028906153	0.046972499	391	371.541609	1.052372037	0.107276956	0.139460043
Tcm & Tbi	GN	2	42	30.7425399	1.366185102	0.022969623	0.06635669	60	42.41431127	1.414616864	0.003402839	0.005529614	35	29.78005755	1.175283155	0.176434204	0.191137055	57	36.09108622	1.579337337	0.000299972	0.0010298	42	24.02907054	1.747882837	0.000241687	0.000628386	53	43.21889235	1.226315556	0.06689976	0.086969688	44	24.68625894	1.782368082	0.000109561	0.000474764	60	36.70793882	1.63452381	8.03E-05	0.000298315	40	28.00263356	1.428437076	0.013090905	0.022690903	47	31.95435685	1.470847942	0.004520834	0.010674792
