### ReviGO output for leg samples
# Group_N = functional GO term group	
# N_GOs	= Number of GO terms in group
# GO_Terms = GO terms IDs	
# GO_Desc = GO terms descriptions
# pval = enrichment p-value
Group_N	N_GOs	GO_Terms	GO_Desc	pval
Group_23	11	GO:0045861, GO:0048523, GO:0031324, GO:0051253, GO:0030162, GO:0010629, GO:1903317, GO:0010605, GO:0070613, GO:0009892, GO:0051172	negative regulation of proteolysis, negative regulation of cellular process, negative regulation of cellular metabolic process, negative regulation of RNA metabolic process, regulation of proteolysis, negative regulation of gene expression, regulation of protein maturation, negative regulation of macromolecule metabolic process, regulation of protein processing, negative regulation of metabolic process, negative regulation of nitrogen compound metabolic process	0.01729816359215101521888297953
Group_24	5	GO:1901879, GO:0043244, GO:0022617, GO:0060260, GO:2000142	regulation of protein depolymerization, regulation of protein complex disassembly, extracellular matrix disassembly, regulation of transcription initiation from RNA polymerase II promoter, regulation of DNA-templated transcription; initiation	0.01880182473490264851905189721
Group_25	1	GO:0018904	ether metabolic process	0.01999861869632744111148164903
Group_26	1	GO:0006662	glycerol ether metabolic process	0.01999861869632744111148164903
Group_27	2	GO:0016334, GO:0016332	establishment or maintenance of polarity of follicular epithelium, establishment or maintenance of polarity of embryonic epithelium	0.02030018519859683959838961929
Group_28	2	GO:0010604, GO:0009893	positive regulation of macromolecule metabolic process, positive regulation of metabolic process	0.02070141348791042160277929812
Group_29	1	GO:0071822	protein complex subunit organization	0.02099906703762425918656876667
Group_30	1	GO:0022411	cellular component disassembly	0.02139932132455943123757199980
Group_31	5	GO:0000398, GO:0008380, GO:0006397, GO:0000377, GO:0000375	mRNA splicing; via spliceosome, RNA splicing, mRNA processing, RNA splicing; via transesterification reactions with bulged adenosine as nucleophile, RNA splicing; via transesterification reactions	0.02220240395345076194619897828
Group_32	1	GO:0002440	production of molecular mediator of immune response	0.02299852586686201166180814513
Group_33	2	GO:0007386, GO:0060288	compartment pattern specification, formation of a compartment boundary	0.02359934775551644043816245396
Group_34	1	GO:0016333	morphogenesis of follicular epithelium	0.02490003743388199230008827384
Group_35	1	GO:0051220	cytoplasmic sequestering of protein	0.02529880455887928201631459865
Group_36	1	GO:1901135	carbohydrate derivative metabolic process	0.02639976129354810018698704232
Group_37	2	GO:0031034, GO:0031036	myosin filament assembly, myosin II filament assembly	0.02669930767129588906278488881
Group_38	1	GO:0032006	regulation of TOR signaling	0.02970297844017863675334638468
Group_39	1	GO:0044260	cellular macromolecule metabolic process	0.02990198367170569365831190481
Group_40	1	GO:0051301	cell division	0.03040184916629442159786400614
Group_41	1	GO:0043170	macromolecule metabolic process	0.03100273441998191004701179048
Group_42	1	GO:0015813	L-glutamate transport	0.03369767985844035888486320391
Group_43	1	GO:0010256	endomembrane system organization	0.03369767985844035888486320391
Group_44	1	GO:0046685	response to arsenic-containing substance	0.03760105236684958408021076680
Group_45	1	GO:0042908	xenobiotic transport	0.03889555743517411067521549172
Group_46	1	GO:0006576	cellular biogenic amine metabolic process	0.04100152405066133086364408135
Group_47	1	GO:0007446	imaginal disc growth	0.04130475019901613607947600371
Group_48	3	GO:0007286, GO:0044702, GO:0048515	spermatid development, single organism reproductive process, spermatid differentiation	0.04330120677380041173412946333
Group_49	1	GO:0008356	asymmetric cell division	0.04360135640003989577944341771
Group_50	1	GO:0036098	male germ-line stem cell population maintenance	0.04440174108068947014007827093
Group_51	1	GO:0006725	cellular aromatic compound metabolic process	0.04660151117021841464327156187
Group_52	1	GO:0072521	purine-containing compound metabolic process	0.04750069893831195170652264455
Group_53	1	GO:0009794	regulation of mitotic cell cycle; embryonic	0.04900044227932357944298111602
